Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"Isaac Dye, Joseph Scott, Zy Wright",35.2,66.0,37.93,119.35483870967742,81.42857142857143,119.35,91.94,62.9,109.68,9.68,35.48,0.0,0.0,25.81,46.77,8.06,3.23,8.06,16.13,19.35,72.58,Abilene Christian Wildcats
"Isaac Dye, Rich Smith, Zy Wright",42.3,82.5,36.22,106.09756097560977,69.87951807228916,106.1,70.73,51.22,97.56,17.07,37.8,0.0,0.0,17.07,32.93,13.41,7.32,4.88,19.51,23.17,50.0,Abilene Christian Wildcats
"Isaac Dye, Ma'Shy Hill, Zy Wright",27.0,58.5,30.93,98.11320754716981,67.1875,98.11,81.13,49.06,96.23,11.32,39.62,0.0,0.0,18.87,30.19,3.77,22.64,15.09,22.64,22.64,49.06,Abilene Christian Wildcats
"Isaac Dye, Isaiah Carrillo, Zy Wright",26.5,54.5,28.53,107.84313725490196,79.3103448275862,107.84,90.2,52.94,113.73,9.8,29.41,0.0,0.0,27.45,35.29,0.0,9.8,5.88,13.73,23.53,62.74,Abilene Christian Wildcats
"Christian Alston, Joseph Venzant, Ma'Shy Hill",38.9,68.0,21.65,78.78787878787878,57.14285714285714,78.79,60.61,43.94,86.36,9.09,19.7,0.0,0.0,9.09,37.88,4.55,16.67,10.61,22.73,28.79,46.97,Abilene Christian Wildcats
"Cade Hornecker, Joseph Venzant, Zy Wright",85.2,160.5,20.84,102.54777070063695,81.70731707317073,102.55,85.35,55.41,97.45,8.92,26.75,0.0,0.0,15.29,28.03,16.56,12.1,3.82,17.83,24.2,43.32,Abilene Christian Wildcats
"Ma'Shy Hill, Rich Smith, Yaniel Rivera",101.8,199.0,20.82,96.44670050761421,75.62189054726367,96.45,77.16,50.76,91.88,9.14,21.32,0.0,0.0,12.69,28.43,14.21,14.72,5.08,20.81,27.92,41.12,Abilene Christian Wildcats
"Cade Hornecker, Rich Smith, Zy Wright",138.8,288.5,18.59,104.21052631578947,85.61643835616438,104.21,87.72,53.68,93.33,13.33,29.12,0.0,0.0,14.39,27.02,19.3,9.12,4.21,21.05,24.91,41.41,Abilene Christian Wildcats
"Isaac Dye, Joseph Venzant, Zy Wright",28.8,58.5,18.25,105.55555555555556,87.3015873015873,105.56,101.85,53.7,103.7,11.11,46.3,0.0,0.0,14.81,27.78,12.96,12.96,11.11,11.11,22.22,42.59,Abilene Christian Wildcats
"Bradyn Hubbard, Ma'Shy Hill, Yaniel Rivera",123.1,238.0,18.04,95.72649572649573,77.68595041322314,95.73,80.34,50.43,94.87,10.26,26.5,0.0,0.0,11.54,29.91,10.68,14.1,5.56,16.67,26.07,41.45,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Scott, Yaniel Rivera",66.3,134.5,17.42,95.71428571428572,78.29457364341084,95.71,72.14,56.43,101.43,7.14,20.71,0.0,0.0,13.57,25.0,6.43,17.14,2.14,12.14,30.0,38.57,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Venzant, Zy Wright",72.1,153.0,17.18,90.72847682119205,73.54838709677419,90.73,75.5,50.99,95.36,9.27,23.84,0.0,0.0,11.26,29.14,8.61,13.25,1.32,15.89,29.14,40.4,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Venzant, Ma'Shy Hill",127.6,246.0,17.16,88.70292887029288,71.54150197628458,88.7,75.73,47.28,93.72,9.21,23.43,0.0,0.0,14.64,28.45,8.37,16.74,6.28,20.92,27.2,43.09,Abilene Christian Wildcats
"Isaac Dye, Tylan Lewis, Zy Wright",31.8,65.0,16.71,93.10344827586206,76.38888888888889,93.1,94.83,51.72,103.45,6.9,36.21,0.0,0.0,22.41,32.76,3.45,17.24,8.62,18.97,25.86,55.17,Abilene Christian Wildcats
"Bradyn Hubbard, Yaniel Rivera, Zy Wright",136.5,297.5,14.37,89.28571428571429,74.91289198606272,89.29,69.81,53.25,96.43,7.14,21.75,0.0,0.0,9.42,28.9,10.39,10.71,2.92,12.99,23.05,38.32,Abilene Christian Wildcats
"Bradyn Hubbard, Cbo Newton, Joseph Scott",119.4,230.5,12.43,101.32158590308372,88.88888888888889,101.32,91.63,58.59,103.08,6.61,22.03,0.0,0.0,14.54,23.35,9.69,11.89,1.76,11.45,32.16,37.89,Abilene Christian Wildcats
"Joseph Venzant, Ma'Shy Hill, Yaniel Rivera",116.0,228.5,12.07,85.9090909090909,73.83966244725738,85.91,79.55,46.36,88.18,7.73,20.91,0.0,0.0,9.55,27.27,11.82,17.73,5.0,21.36,28.18,36.82,Abilene Christian Wildcats
"Cade Hornecker, Cbo Newton, Zy Wright",103.8,220.0,10.45,100.45454545454547,90.0,100.45,90.0,56.36,89.55,10.0,23.18,0.0,0.0,11.36,25.91,19.09,10.45,2.73,21.82,26.36,37.27,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Venzant, Yaniel Rivera",267.4,559.5,10.37,91.00719424460432,80.63943161634103,91.01,81.65,51.44,96.4,8.63,22.3,0.0,0.0,11.51,27.16,9.53,14.93,2.52,15.11,28.96,38.67,Abilene Christian Wildcats
"Isaac Dye, Isaiah Carrillo, Joseph Scott",25.6,50.5,10.36,108.51063829787233,98.14814814814815,108.51,112.77,53.19,106.38,12.77,36.17,0.0,0.0,21.28,27.66,4.26,6.38,6.38,14.89,17.02,48.94,Abilene Christian Wildcats
"Joseph Venzant, Ma'Shy Hill, Rich Smith",145.5,280.0,9.52,80.95238095238095,71.42857142857143,80.95,75.09,43.96,89.74,8.06,21.61,0.0,0.0,13.19,27.47,8.06,15.75,6.59,23.44,26.37,40.66,Abilene Christian Wildcats
"Bradyn Hubbard, Ma'Shy Hill, Rich Smith",159.2,311.0,9.13,85.85526315789474,76.72955974842768,85.86,80.26,46.05,93.42,8.22,24.01,0.0,0.0,15.79,27.96,9.87,14.14,5.92,22.37,24.34,43.75,Abilene Christian Wildcats
"Bradyn Hubbard, Cbo Newton, Christian Alston",74.8,157.5,8.64,91.02564102564102,82.38993710691824,91.03,83.97,55.13,96.79,2.56,12.82,0.0,0.0,10.9,29.49,9.62,8.97,3.21,14.1,27.56,40.39,Abilene Christian Wildcats
"Cade Hornecker, Cbo Newton, Joseph Venzant",135.0,274.0,7.9,87.45519713261649,79.5539033457249,87.46,76.7,53.41,90.32,5.02,17.2,0.0,0.0,10.39,26.52,15.05,12.19,2.87,20.07,25.45,36.91,Abilene Christian Wildcats
"Cade Hornecker, Cbo Newton, Rich Smith",199.2,408.5,7.77,91.9047619047619,84.1309823677582,91.9,79.52,53.33,93.81,7.62,21.67,0.0,0.0,12.86,24.76,16.43,8.57,2.86,19.05,25.71,37.62,Abilene Christian Wildcats
"Bradyn Hubbard, Cbo Newton, Zy Wright",135.8,306.0,7.34,93.29073482428115,85.95317725752508,93.29,82.11,56.23,96.49,7.03,17.57,0.0,0.0,10.54,22.36,14.06,10.86,2.24,14.06,20.13,32.9,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Scott, Joseph Venzant",133.1,260.5,7.18,93.82239382239382,86.64122137404581,93.82,87.64,53.67,104.25,7.34,23.94,0.0,0.0,17.76,24.71,9.27,14.67,1.93,13.51,30.5,42.47,Abilene Christian Wildcats
"Ma'Shy Hill, Yaniel Rivera, Zy Wright",62.6,131.0,7.12,87.12121212121212,80.0,87.12,78.79,46.97,86.36,8.33,22.73,0.0,0.0,5.3,25.0,12.12,15.15,4.55,18.94,27.27,30.3,Abilene Christian Wildcats
"Bradyn Hubbard, Cbo Newton, Joseph Venzant",309.9,618.5,6.93,89.78583196046128,82.85714285714286,89.79,86.0,52.55,96.38,5.93,20.43,0.0,0.0,12.85,25.21,11.37,13.01,2.47,16.47,28.17,38.06,Abilene Christian Wildcats
"Bradyn Hubbard, Ma'Shy Hill, Zy Wright",62.6,132.0,6.53,83.96946564885496,77.44360902255639,83.97,78.63,48.09,98.47,6.87,24.43,0.0,0.0,14.5,22.9,7.63,16.79,3.82,16.03,23.66,37.4,Abilene Christian Wildcats
"Bradyn Hubbard, Cade Hornecker, Zy Wright",94.4,213.5,6.13,89.14027149321268,83.00970873786407,89.14,77.38,53.85,88.69,6.33,19.46,0.0,0.0,9.5,28.05,15.38,7.69,2.26,20.81,25.79,37.55,Abilene Christian Wildcats
"Cbo Newton, Ma'Shy Hill, Yaniel Rivera",89.9,174.0,5.96,93.93939393939394,87.97814207650273,93.94,97.58,49.7,95.76,9.7,28.48,0.0,0.0,10.91,23.03,18.18,15.76,3.03,15.15,22.42,33.94,Abilene Christian Wildcats
"Christian Alston, Ma'Shy Hill, Rich Smith",49.6,97.5,5.42,68.42105263157895,63.0,68.42,66.32,41.05,82.11,6.32,16.84,0.0,0.0,12.63,34.74,3.16,11.58,6.32,30.53,29.47,47.37,Abilene Christian Wildcats
"Cade Hornecker, Yaniel Rivera, Zy Wright",127.4,259.5,5.14,95.29411764705881,90.15151515151516,95.29,93.33,51.37,89.8,10.2,26.27,0.0,0.0,10.59,26.67,15.29,11.76,3.14,20.78,21.18,37.26,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Scott, Zy Wright",34.2,66.0,4.75,95.52238805970148,90.76923076923077,95.52,88.06,53.73,107.46,10.45,26.87,0.0,0.0,22.39,22.39,5.97,11.94,0.0,14.93,23.88,44.78,Abilene Christian Wildcats
"Cade Hornecker, Isaac Dye, Zy Wright",49.7,102.5,3.7,95.04950495049505,91.34615384615384,95.05,94.06,46.53,93.07,12.87,30.69,0.0,0.0,10.89,23.76,7.92,10.89,0.99,17.82,22.77,34.65,Abilene Christian Wildcats
"Joseph Venzant, Rich Smith, Yaniel Rivera",250.3,512.5,3.52,87.81925343811395,84.30232558139535,87.82,85.46,50.69,97.64,7.07,20.83,0.0,0.0,13.56,24.17,10.61,14.93,2.75,15.91,27.11,37.73,Abilene Christian Wildcats
