athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
4888717,Oakland Fort,2464,Northern Arizona Lumberjacks,103.7621,111.7823,-8.0203,77.9695,147.0588,-69.0893,61.0691,,,,,,,,0.4469,0.4469,,0.0,0.3359,0.7443,0.48,0.48,,0.0,0.6683,0.2691,34.2756,13.5621,17.0157,1246.12,1228.28,60.28,61.2,1293.0,1373.0,47.0,90.0,1036.0,463.0,0.0,0.0,1048.0,503.0,0.0,0.0,169.0,421.0,209.0,459.0
4702029,Liam Lloyd,2464,Northern Arizona Lumberjacks,103.0408,111.2489,-8.2081,77.9695,147.0588,-69.0893,60.8812,,,,,,,,0.4441,0.4441,,0.0,0.3183,0.7466,0.4808,0.4808,,0.0,0.6732,0.2729,34.5601,13.9609,16.7785,1110.24,1096.64,60.28,61.2,1144.0,1220.0,47.0,90.0,930.0,413.0,0.0,0.0,938.0,451.0,0.0,0.0,155.0,379.0,184.0,413.0
4702456,Logan Cremonesi,26,UCLA Bruins,99.9322,79.4456,20.4867,94.3122,130.9524,-36.6401,57.1268,,,,,,,,0.383,0.383,,0.0,0.3404,0.75,0.375,0.375,,0.0,0.6154,0.2424,40.568,13.5501,25.355,59.04,59.16,68.92,67.2,59.0,47.0,65.0,88.0,47.0,18.0,0.0,0.0,48.0,18.0,0.0,0.0,8.0,24.0,15.0,25.0
4593882,Tim Ceaser,2430,UNC Greensboro Spartans,144.3418,85.6468,58.695,110.5938,106.7543,3.8395,54.8555,,,,,,,,0.5781,0.5781,,0.0,0.1875,0.8333,0.4151,0.4151,,0.0,0.8,0.3103,41.3467,12.9908,10.3367,69.28,67.72,1172.76,1180.28,100.0,58.0,1297.0,1260.0,64.0,37.0,0.0,0.0,53.0,22.0,0.0,0.0,9.0,28.0,7.0,20.0
5105457,Moe Odum,279,Pacific Tigers,97.6215,124.4659,-26.8444,60.1567,138.6623,-78.5056,51.6612,,,,,,,,0.4157,0.4157,,0.0,0.3952,0.6744,0.4958,0.4958,,0.0,0.5968,0.2516,30.9307,14.3561,20.8991,1079.68,1076.6,71.48,73.56,1054.0,1340.0,43.0,102.0,878.0,365.0,0.0,0.0,956.0,474.0,0.0,0.0,155.0,333.0,225.0,461.0
4432075,Ody Oguama,2132,Cincinnati Bearcats,139.3095,86.9565,52.353,99.4242,98.2363,1.1878,51.1651,,,,,,,,0.5902,0.5902,,0.0,0.2623,0.75,0.3889,0.3889,,0.0,0.7027,0.5172,40.3727,22.7135,17.0807,66.04,64.4,819.72,825.56,92.0,56.0,815.0,811.0,61.0,36.0,0.0,0.0,54.0,21.0,0.0,0.0,15.0,26.0,11.0,14.0
5176518,Nils Cooper,2492,Pepperdine Waves,113.202,74.2942,38.9078,108.9677,118.7921,-9.8244,48.7322,,,,,,,,0.4956,0.4956,,0.0,0.3628,0.7317,0.2793,0.2793,,0.0,0.6526,0.3824,46.0624,19.112,24.5171,136.04,134.6,1070.96,1080.88,154.0,100.0,1167.0,1284.0,113.0,56.0,0.0,0.0,111.0,31.0,0.0,0.0,26.0,62.0,33.0,42.0
4845367,Stephon Castle,41,UConn Huskies,123.6476,99.6911,23.9565,97.2132,121.124,-23.9108,47.8673,,,,,,,,0.4925,0.4925,,0.0,0.3221,0.7488,0.3937,0.3937,,0.0,0.7068,0.3811,41.6316,19.601,17.2704,1423.4,1424.4,61.72,61.92,1760.0,1420.0,60.0,75.0,1273.0,627.0,0.0,0.0,1247.0,491.0,0.0,0.0,279.0,593.0,246.0,453.0
4897618,Aubin Gateretse,56,Stetson Hatters,115.6312,109.9516,5.6796,88.8325,129.7859,-40.9534,46.6329,,,,,,,,0.4699,0.4699,,0.0,0.3534,0.7486,0.4527,0.4527,,0.0,0.6812,0.3121,37.2815,16.1078,17.4474,1216.8,1215.08,63.04,61.64,1407.0,1336.0,56.0,80.0,1047.0,492.0,0.0,0.0,1111.0,503.0,0.0,0.0,196.0,453.0,212.0,432.0
4896862,Ali Abdou Dibba,2000,Abilene Christian Wildcats,102.8665,102.5925,0.274,64.3593,109.2735,-44.9142,45.1882,,,,,,,,0.4546,0.4546,,0.0,0.3912,0.7332,0.468,0.468,,0.0,0.6626,0.3105,33.9638,15.9945,17.2935,1275.44,1283.72,69.92,67.72,1312.0,1317.0,45.0,74.0,1025.0,466.0,0.0,0.0,1000.0,468.0,0.0,0.0,204.0,436.0,222.0,453.0
