Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"Cameron Steele, Damien Daniels, Hunter Jack Madden, Joe Pleasant, Tobias Cameron",40.0,99.5,60.47,112.99999999999999,52.52525252525253,113.0,52.0,56.0,103.0,13.0,35.0,0.0,0.0,21.0,37.0,0.0,13.0,4.0,18.0,20.0,58.0,Abilene Christian Wildcats
"Cameron Steele, Damien Daniels, Hunter Jack Madden, Immanuel Allen, Tobias Cameron",80.0,158.5,18.82,97.53086419753086,78.70967741935485,97.53,75.31,53.7,106.17,11.11,32.72,0.0,0.0,20.99,24.69,0.0,13.58,3.7,14.81,26.54,45.68,Abilene Christian Wildcats
"Airion Simmons, Cameron Steele, Damien Daniels, Immanuel Allen, Tobias Cameron",120.0,252.0,17.62,88.93280632411067,71.31474103585657,88.93,70.75,47.83,90.51,8.3,24.9,0.0,0.0,11.86,29.64,0.0,13.83,3.95,21.34,22.53,41.5,Abilene Christian Wildcats
"Damien Daniels, Hunter Jack Madden, Immanuel Allen, Joe Pleasant, Tobias Cameron",240.0,453.5,13.99,101.78571428571428,87.7995642701525,101.79,89.96,53.57,99.33,10.49,26.34,0.0,0.0,14.29,28.57,0.0,9.82,3.57,14.96,26.12,42.86,Abilene Christian Wildcats
"Airion Simmons, Ali Abdou Dibba, Damien Daniels, Joe Pleasant, Tobias Cameron",330.0,644.5,1.31,95.61815336463224,94.3076923076923,95.62,95.93,54.15,101.72,7.67,22.69,0.0,0.0,14.08,27.39,0.0,9.7,1.41,12.36,26.45,41.47,Abilene Christian Wildcats
"Airion Simmons, Damien Daniels, Hunter Jack Madden, Immanuel Allen, Tobias Cameron",40.0,79.0,1.19,91.78082191780823,90.58823529411765,91.78,105.48,43.84,87.67,12.33,23.29,0.0,0.0,8.22,27.4,0.0,9.59,4.11,20.55,27.4,35.62,Abilene Christian Wildcats
"Ali Abdou Dibba, Damien Daniels, Hunter Jack Madden, Immanuel Allen, Joe Pleasant",80.0,169.5,0.7,81.76470588235294,81.06508875739645,81.76,80.59,49.41,94.71,5.88,24.12,0.0,0.0,9.41,24.71,0.0,11.76,4.12,14.71,25.88,34.12,Abilene Christian Wildcats
"Ali Abdou Dibba, Damien Daniels, Immanuel Allen, Joe Pleasant, Tobias Cameron",40.0,103.0,-4.58,85.41666666666666,90.0,85.42,103.12,52.08,98.96,5.21,19.79,0.0,0.0,10.42,13.54,0.0,13.54,3.12,11.46,35.42,23.96,Abilene Christian Wildcats
"Airion Simmons, Damien Daniels, Immanuel Allen, Joe Pleasant, Tobias Cameron",200.0,386.5,-9.54,82.76762402088774,92.3076923076923,82.77,93.99,44.65,96.08,8.36,26.11,0.0,0.0,12.01,29.24,0.0,9.4,2.61,15.93,25.85,41.25,Abilene Christian Wildcats
"Airion Simmons, Damien Daniels, Immanuel Allen, Ja'Sean Jackson, Tobias Cameron",40.0,81.0,-15.56,77.21518987341773,92.7710843373494,77.22,97.47,36.71,86.08,8.86,27.85,0.0,0.0,15.19,29.11,0.0,13.92,3.8,29.11,29.11,44.3,Abilene Christian Wildcats
