team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2,213,454,667,1158,460,1362.04
5,215,524,739,1203,469,1347.08
6,217,492,709,1108,724,1272.28
8,229,492,721,1329,461,1536.08
9,265,486,751,1235,460,1393.76
12,246,455,701,1356,514,1482.8
13,246,547,793,1362,520,1563.0
16,217,533,750,1167,523,1362.44
21,244,532,776,1297,616,1598.08
23,222,557,779,1214,466,1430.84
24,213,457,670,1052,365,1228.2
25,211,520,731,1125,495,1312.16
26,256,511,767,1296,596,1477.84
27,208,536,744,1149,367,1402.76
28,208,588,796,1309,574,1522.08
30,238,500,738,1294,514,1469.96
36,211,465,676,1188,489,1398.48
38,204,494,698,1130,406,1322.8
41,232,475,707,1257,460,1505.56
43,151,349,500,921,424,1040.6
44,153,446,599,970,374,1216.88
45,193,452,645,1127,491,1353.2
46,271,514,785,1360,569,1507.92
47,176,294,470,902,286,1107.96
48,212,474,686,1154,512,1271.4
50,186,439,625,1101,369,1367.08
52,249,495,744,1234,577,1361.44
55,205,489,694,1166,501,1382.48
56,212,461,673,1207,492,1354.2
57,203,422,625,1230,411,1433.12
58,249,502,751,1238,492,1441.12
59,216,459,675,1118,502,1273.84
61,255,475,730,1206,478,1345.04
62,208,540,748,1331,434,1594.28
66,196,478,674,1144,518,1381.84
68,161,429,590,1208,450,1406.44
70,185,563,748,1251,421,1519.12
71,202,595,797,1268,505,1542.12
77,245,547,792,1268,503,1472.44
79,193,547,740,1192,488,1439.8799999999999
82,224,512,736,1266,592,1525.84
84,203,477,680,1181,466,1368.92
85,222,539,761,1194,431,1494.32
87,180,468,648,1059,525,1211.88
88,241,529,770,1152,298,1316.4
91,218,425,643,1164,601,1305.52
93,219,521,740,1277,367,1486.72
94,247,567,814,1381,527,1636.4
96,247,500,747,1251,479,1442.04
97,187,470,657,1176,464,1373.16
98,222,559,781,1165,473,1446.32
99,233,458,691,1159,431,1312.4
103,177,495,672,1027,416,1189.56
104,190,445,635,1238,504,1352.32
107,174,496,670,1155,434,1294.92
108,144,340,484,841,310,953.76
111,183,519,702,1130,406,1373.52
113,168,474,642,1126,489,1410.6
116,235,461,696,1199,541,1378.56
119,229,505,734,1197,487,1331.68
120,185,506,691,1207,517,1396.84
127,160,411,571,1184,542,1375.04
130,243,441,684,1422,600,1578.36
