athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
3906694,5.15,0.6,5.75,Jy'lan Washington,2634,Tennessee State Tigers,1286.08
4593725,4.29,1.22,5.51,Carlos Marshall Jr.,2634,Tennessee State Tigers,1497.4
4280151,3.67,1.78,5.45,Corey Kispert,2250,Gonzaga Bulldogs,2375.16
3906547,3.67,1.78,5.45,Ryan Woolridge,2250,Gonzaga Bulldogs,2375.16
4397667,3.67,1.78,5.45,Filip Petrusev,2250,Gonzaga Bulldogs,2375.16
4277933,3.52,1.48,5.0,Wesley Harris,2634,Tennessee State Tigers,1699.88
4397018,2.39,2.47,4.86,Ochai Agbaji,2305,Kansas Jayhawks,2092.04
4277892,2.39,2.47,4.86,Marcus Garrett,2305,Kansas Jayhawks,2092.04
4431669,2.53,2.31,4.84,Vernon Carey Jr.,150,Duke Blue Devils,2208.7200000000003
4066299,2.33,2.42,4.75,Udoka Azubuike,2305,Kansas Jayhawks,2027.48
4397016,2.39,2.26,4.65,Devon Dotson,2305,Kansas Jayhawks,2028.88
4066668,2.2,2.31,4.51,Malachi Flynn,21,San Diego State Aztecs,2095.36
4077221,2.2,2.31,4.51,Yanni Wetzell,21,San Diego State Aztecs,2095.36
3936174,2.2,2.31,4.51,KJ Feagin,21,San Diego State Aztecs,2095.36
4277964,2.55,1.95,4.5,Xavier Tillman,127,Michigan State Spartans,1981.2
4278707,2.36,2.11,4.47,Jordan Schakel,21,San Diego State Aztecs,2028.56
4280150,3.13,1.11,4.24,Joel Ayayi,2250,Gonzaga Bulldogs,1666.76
4066763,2.01,2.2,4.21,Abel Porter,328,Utah State Aggies,2339.4
4278720,2.01,2.2,4.21,Justin Bean,328,Utah State Aggies,2339.4
4395626,2.3,1.8,4.1,Tre Jones,150,Duke Blue Devils,2151.28
4398184,2.06,2.01,4.07,Isaiah Tisdale,2193,East Tennessee State Buccaneers,2291.7200000000003
4397234,1.89,2.16,4.05,Luther Muhammad,194,Ohio State Buckeyes,1846.52
4280018,1.98,2.07,4.05,Bo Hodges,2193,East Tennessee State Buccaneers,2228.32
4277883,2.26,1.77,4.029999999999999,Jordan Nwora,97,Louisville Cardinals,2014.16
4431686,2.28,1.72,4.0,Cassius Stanley,150,Duke Blue Devils,2128.48
4066316,1.67,2.32,3.9899999999999998,Lucas N'Guessan,2193,East Tennessee State Buccaneers,2217.48
4066382,2.06,1.91,3.9699999999999998,Cassius Winston,127,Michigan State Spartans,1912.76
4066354,2.87,1.1,3.97,Payton Pritchard,2483,Oregon Ducks,2088.88
4066489,2.38,1.55,3.9299999999999997,Trey Landers,2168,Dayton Flyers,1986.92
4398369,3.19,0.72,3.91,Michael Littlejohn,2634,Tennessee State Tigers,1836.72
4593726,3.19,0.72,3.91,Shakem Johnson,2634,Tennessee State Tigers,1836.72
4432811,2.08,1.81,3.89,Josh Green,12,Arizona Wildcats,2029.04
4278721,1.68,2.19,3.87,Brock Miller,328,Utah State Aggies,1997.52
4396679,1.61,2.22,3.83,Erik Stevenson,2724,Wichita State Shockers,1507.64
4432847,2.17,1.64,3.8099999999999996,Terrence Shannon Jr.,2641,Texas Tech Red Raiders,1393.68
4278355,2.52,1.28,3.8,Obi Toppin,2168,Dayton Flyers,2060.12
4067250,2.52,1.28,3.8,Rodney Chatman,2168,Dayton Flyers,2060.12
3908857,2.52,1.28,3.8,Ryan Mikesell,2168,Dayton Flyers,2060.12
4277886,1.62,2.14,3.7600000000000002,Freddie Gillespie,239,Baylor Bears,1989.12
4278053,1.62,2.14,3.7600000000000002,Davion Mitchell,239,Baylor Bears,1989.12
4395695,1.62,2.14,3.7600000000000002,Jared Butler,239,Baylor Bears,1989.12
4278263,2.02,1.65,3.67,Fabian White Jr.,248,Houston Cougars,2060.6
4396629,2.02,1.65,3.67,Nate Hinton,248,Houston Cougars,2060.6
4397749,1.56,2.11,3.67,Guglielmo Caruso,2541,Santa Clara Broncos,1104.3600000000001
4067435,2.06,1.6,3.66,Bryce Barnes,2729,William & Mary Tribe,1541.0
4065655,2.17,1.49,3.66,CJ Walker,194,Ohio State Buckeyes,1910.52
4066651,2.07,1.54,3.61,Killian Tillie,2250,Gonzaga Bulldogs,1728.04
3913239,2.1,1.45,3.55,Dwayne Sutton,97,Louisville Cardinals,2081.44
4397235,1.51,2.02,3.5300000000000002,Duane Washington Jr.,194,Ohio State Buckeyes,1000.2
4396006,1.82,1.7,3.52,Ivan Aurrecoechea,166,New Mexico State Aggies,1855.44
4066656,1.72,1.8,3.52,Yoeli Childs,252,BYU Cougars,1315.76
3906578,2.67,0.84,3.51,Anthony Mathis,2483,Oregon Ducks,1414.72
4066249,1.93,1.58,3.51,Danjel Purifoy,2,Auburn Tigers,1856.16
3913238,1.67,1.83,3.5,Dylan Smith,12,Arizona Wildcats,2156.68
4431672,1.67,1.83,3.5,Nico Mannion,12,Arizona Wildcats,2156.68
4431690,1.67,1.83,3.5,Zeke Nnaji,12,Arizona Wildcats,2156.68
4066657,2.05,1.44,3.4899999999999998,TJ Haws,252,BYU Cougars,2240.76
3135098,2.05,1.44,3.4899999999999998,Jake Toolson,252,BYU Cougars,2240.76
4278130,2.05,1.44,3.4899999999999998,Alex Barcello,252,BYU Cougars,2240.76
4431688,1.94,1.54,3.48,Jahmi'us Ramsey,2641,Texas Tech Red Raiders,1711.72
4277974,1.99,1.48,3.4699999999999998,Kyle Young,194,Ohio State Buckeyes,1650.4
4278501,1.56,1.9,3.46,D'Shawn Schwartz,38,Colorado Buffaloes,1961.44
4278352,2.31,1.14,3.45,Jalen Crutcher,2168,Dayton Flyers,1995.48
4432822,2.36,1.09,3.45,Isaac Okoro,2,Auburn Tigers,1936.76
4277975,1.85,1.59,3.4400000000000004,Kaleb Wesson,194,Ohio State Buckeyes,2049.24
4065656,1.58,1.76,3.34,Trent Forrest,52,Florida State Seminoles,2016.0
4593106,0.49,2.85,3.34,Boogie Ellis,235,Memphis Tigers,1988.04
4397081,1.48,1.84,3.3200000000000003,Kyler Edwards,2641,Texas Tech Red Raiders,1996.16
4277930,1.48,1.84,3.3200000000000003,Davide Moretti,2641,Texas Tech Red Raiders,1996.16
3907339,1.41,1.89,3.3,TJ Holyfield,2641,Texas Tech Red Raiders,1929.32
