Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"5177702, 5241314",18.8,37.6,50.16,135.8695652173913,85.71428571428571,135.87,89.67,48.91,84.24,21.74,40.76,16.3,21.74,8.15,27.17,29.89,27.17,5.43,13.59,35.33,35.32,Abilene Christian Wildcats
"5177575, 5177702",18.2,35.9,37.25,135.88110403397027,98.63013698630137,135.88,101.91,50.96,87.76,16.99,39.63,16.99,19.82,11.32,22.65,31.14,28.31,5.66,14.15,33.97,33.97,Abilene Christian Wildcats
"4897572, 5177702",15.6,32.2,28.47,129.65964343598054,101.19047619047619,129.66,110.21,48.62,84.28,19.45,35.66,12.97,19.45,9.72,22.69,22.69,25.93,3.24,16.21,42.14,32.41,Abilene Christian Wildcats
"5177575, 5241314",24.2,44.4,18.63,106.27473148671565,87.64044943820225,106.27,88.19,38.44,79.14,15.83,33.92,13.57,24.87,9.04,29.4,22.61,22.61,9.04,18.09,29.4,38.44,Abilene Christian Wildcats
"Ma'Shy Hill, Yaniel Rivera",73.8,125.8,15.49,114.69821535993583,99.21259842519686,114.7,101.06,44.11,77.8,9.63,24.86,16.84,26.47,7.22,32.89,25.67,16.04,5.61,16.84,35.29,40.11,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Scott",37.3,63.2,12.34,105.66615620214395,93.32787556283257,105.67,87.29,32.16,79.63,10.72,24.5,30.63,42.88,21.44,16.85,18.38,24.5,0.0,21.44,36.75,38.29,Abilene Christian Wildcats
"Bradyn Hubbard, Ma'Shy Hill",76.2,121.6,12.32,107.36579275905117,95.0446791226645,107.37,97.38,40.78,79.9,9.16,29.13,16.65,28.3,13.32,32.46,19.98,16.65,5.83,19.98,30.79,45.78,Abilene Christian Wildcats
"4897572, 5241314",21.7,40.7,9.17,98.11320754716981,88.9423076923077,98.11,93.08,35.22,75.47,17.61,30.19,10.06,25.16,7.55,30.19,15.09,20.13,7.55,20.13,35.22,37.74,Abilene Christian Wildcats
"Bradyn Hubbard, Joseph Venzant",230.7,395.3,2.99,99.14834117198423,96.1611076148521,99.15,97.11,32.8,80.34,7.88,27.2,25.68,37.12,17.29,31.02,15.76,16.52,3.3,19.32,30.25,48.31,Abilene Christian Wildcats
"5177575, 5241310",16.2,31.7,2.3,91.05180533751962,88.74801901743265,91.05,87.91,37.68,91.05,9.42,28.26,6.28,18.84,18.84,28.26,21.98,21.98,9.42,18.84,34.54,47.1,Abilene Christian Wildcats
"Ma'Shy Hill, Rich Smith",89.5,148.6,0.38,97.7733132429265,97.39600946905648,97.77,96.43,35.49,70.99,8.71,22.77,18.08,31.47,10.05,31.47,18.08,15.4,4.69,24.11,32.81,41.52,Abilene Christian Wildcats
"Joseph Venzant, Ma'Shy Hill",83.7,138.2,0.04,90.12392039053698,90.08379888268158,90.12,96.88,33.05,73.6,7.51,27.04,16.52,25.54,10.51,32.29,19.53,21.03,6.76,24.78,29.29,42.8,Abilene Christian Wildcats
"Joseph Scott, Yaniel Rivera",39.4,68.4,-0.73,97.59598134194475,98.32402234636871,97.6,94.73,27.27,70.33,7.18,17.22,35.88,47.36,15.79,30.14,17.22,17.22,2.87,22.96,27.27,45.93,Abilene Christian Wildcats
"5241310, 5241314",18.5,36.4,-2.34,82.58774948382656,84.93150684931507,82.59,85.34,33.04,85.34,11.01,27.53,5.51,19.27,11.01,33.04,19.27,16.52,8.26,16.52,33.04,44.05,Abilene Christian Wildcats
"Cbo Newton, Joseph Venzant",162.3,278.8,-3.87,95.79311600801311,99.66425163456442,95.79,102.71,32.78,72.12,5.46,21.85,24.77,35.69,11.66,29.14,16.39,16.03,2.55,22.58,32.05,40.8,Abilene Christian Wildcats
"Cbo Newton, Ma'Shy Hill",70.2,116.9,-3.89,101.48731408573927,105.37319673844867,101.49,110.24,40.24,78.74,9.62,29.75,11.37,24.5,8.75,28.0,23.62,17.5,2.62,18.37,28.0,36.75,Abilene Christian Wildcats
"Joseph Venzant, Rich Smith",269.1,455.4,-3.98,96.62047433860984,100.59985691486435,96.62,100.13,32.43,80.41,7.23,24.54,24.54,35.71,18.4,29.8,16.65,13.36,3.29,21.03,28.48,48.2,Abilene Christian Wildcats
