Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
5177702,22.4,44.3,41.78,135.5140186915888,93.73297002724796,135.51,100.47,51.4,86.45,18.69,37.38,14.02,18.69,11.68,25.7,32.71,25.7,4.67,16.36,39.72,37.38,Abilene Christian Wildcats
5241314,33.0,60.0,14.38,103.08407266582171,88.7063655030801,103.08,91.25,37.18,84.5,16.9,35.49,11.83,21.97,13.52,30.42,21.97,20.28,8.45,18.59,28.73,43.94,Abilene Christian Wildcats
5177575,27.5,50.1,7.39,103.6058913153885,96.21993127147766,103.61,99.54,38.6,83.29,14.22,34.54,12.19,22.35,14.22,26.41,22.35,22.35,8.13,20.31,32.5,40.63,Abilene Christian Wildcats
Ma'Shy Hill,119.4,199.3,1.21,100.22894937674891,99.02215620745142,100.23,101.76,37.14,73.77,8.65,25.95,17.3,29.51,9.16,31.54,20.86,16.28,5.6,21.37,31.54,40.7,Abilene Christian Wildcats
4897572,25.0,46.4,-1.78,96.08938547486034,97.86569495054658,96.09,105.03,35.75,80.45,15.64,31.28,8.94,22.35,13.41,26.82,15.64,20.11,6.7,22.35,37.99,40.23,Abilene Christian Wildcats
Joseph Venzant,348.3,594.4,-7.73,95.01511217061854,102.7431421446384,95.02,105.23,31.84,79.52,6.98,25.2,24.35,35.59,16.52,29.97,16.18,14.81,3.41,20.09,30.65,46.49,Abilene Christian Wildcats
Bradyn Hubbard,386.8,672.8,-7.92,96.82903392711951,104.7519426180514,96.83,103.63,31.78,76.58,6.5,24.1,26.76,38.73,14.49,29.57,15.52,13.6,3.1,19.51,30.6,44.06,Abilene Christian Wildcats
5241310,21.6,42.6,-8.13,85.0561134081512,93.18578916715201,85.06,94.51,35.44,89.78,9.45,28.35,4.73,16.54,16.54,30.71,21.26,16.54,7.09,18.9,37.8,47.25,Abilene Christian Wildcats
Rich Smith,435.0,750.0,-9.03,97.33579530466895,106.36648579420984,97.34,104.06,33.1,78.21,7.25,24.0,23.87,35.87,16.22,29.41,17.41,11.74,3.03,20.97,29.68,45.63,Abilene Christian Wildcats
Cbo Newton,309.1,545.5,-9.31,98.80859285155711,108.12291676179171,98.81,108.93,33.49,73.05,6.07,21.71,25.76,36.98,11.59,29.07,17.3,12.88,2.58,20.98,30.18,40.66,Abilene Christian Wildcats
Cade Hornecker,272.4,477.9,-12.12,94.84279340043582,106.9620253164557,94.84,105.22,31.34,76.99,7.26,24.49,24.9,34.45,14.73,29.26,18.26,10.79,3.53,21.38,28.02,43.99,Abilene Christian Wildcats
Tylan Lewis,30.5,52.7,-12.47,93.48914858096829,105.96026490066225,93.49,142.46,22.26,71.23,11.13,26.71,37.84,51.2,11.13,28.94,13.36,17.81,4.45,15.58,51.2,40.07,Abilene Christian Wildcats
Yaniel Rivera,356.1,627.2,-13.2,97.26928443292805,110.4646529050769,97.27,110.5,32.85,77.66,7.49,24.4,24.08,34.28,12.76,30.14,17.38,12.76,3.03,18.82,30.46,42.9,Abilene Christian Wildcats
Christian Alston,151.2,259.5,-15.49,87.84434598343286,103.33526122999805,87.84,103.26,27.74,77.06,5.78,21.96,26.58,37.76,17.72,33.13,12.33,11.94,3.47,22.73,32.75,50.85,Abilene Christian Wildcats
Joseph Scott,75.5,128.2,-18.43,92.26594301221166,110.69676153091265,92.27,109.32,26.36,68.23,6.98,17.83,32.56,47.3,16.28,27.91,16.28,14.73,1.55,25.59,34.89,44.19,Abilene Christian Wildcats
