Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
5241314,33.0,60.0,14.38,103.08407266582171,88.7063655030801,103.08,91.25,37.18,84.5,16.9,35.49,11.83,21.97,13.52,30.42,21.97,20.28,8.45,18.59,28.73,43.94,Abilene Christian Wildcats
5177575,27.5,50.1,7.39,103.6058913153885,96.21993127147766,103.61,99.54,38.6,83.29,14.22,34.54,12.19,22.35,14.22,26.41,22.35,22.35,8.13,20.31,32.5,40.63,Abilene Christian Wildcats
Ma'Shy Hill,271.8,467.2,1.21,96.83184402924452,95.6209012058388,96.83,97.91,36.18,77.99,8.45,25.13,16.03,24.91,12.78,30.33,9.31,17.11,6.72,22.96,30.54,43.11,Abilene Christian Wildcats
Joseph Venzant,649.4,1099.9,0.83,99.88481916609076,99.0578734858681,99.88,101.73,34.74,80.63,7.74,25.16,22.67,32.25,16.22,31.51,10.32,14.65,4.52,20.27,32.71,47.73,Abilene Christian Wildcats
Bradyn Hubbard,722.4,1254.1,0.74,101.91385663906169,101.1713735558408,101.91,99.93,34.47,80.04,7.53,24.88,25.44,35.34,16.48,30.67,10.62,13.87,3.57,19.65,31.07,47.15,Abilene Christian Wildcats
Tylan Lewis,99.1,173.6,-3.73,98.28009828009827,102.00759631036354,98.28,115.48,35.01,84.77,7.37,28.26,20.88,29.48,19.66,29.48,7.37,17.81,3.69,20.88,39.93,49.14,Abilene Christian Wildcats
Rich Smith,760.5,1308.1,-3.84,100.26375211096563,104.10009624639076,100.26,102.62,34.15,80.15,8.42,25.58,23.53,33.32,16.93,29.98,12.07,12.52,3.79,20.95,30.66,46.91,Abilene Christian Wildcats
Cade Hornecker,416.7,734.8,-4.09,100.99176332156665,105.08556278621354,100.99,102.61,34.16,77.86,8.88,26.22,23.8,31.6,15.06,30.12,14.12,10.89,4.03,22.19,28.37,45.18,Abilene Christian Wildcats
Yaniel Rivera,568.3,985.0,-6.43,100.14429283851858,106.57844509479577,100.14,106.02,34.23,78.68,8.91,26.23,22.78,32.1,14.38,31.09,11.04,13.67,3.75,20.45,30.38,45.47,Abilene Christian Wildcats
Cbo Newton,588.1,1021.1,-7.52,101.15236875800258,108.67659947414548,101.15,109.92,34.67,76.92,7.09,23.24,24.72,34.28,13.99,28.66,12.31,12.71,2.95,20.78,32.01,42.65,Abilene Christian Wildcats
Zy Wright,466.0,824.9,-7.62,99.9514209375759,107.5717699730768,99.95,107.97,34.61,77.85,8.99,27.08,21.74,32.06,15.06,30.12,11.17,12.63,3.89,21.98,30.24,45.18,Abilene Christian Wildcats
Joseph Scott,270.5,446.4,-9.12,102.80215114633455,111.91755775943264,102.8,114.35,34.87,83.1,7.47,24.91,25.59,35.1,19.7,30.12,8.15,12.91,2.94,19.93,35.1,49.82,Abilene Christian Wildcats
Isaac Dye,144.1,262.0,-9.19,99.86293322890151,109.05368940169349,99.86,114.74,36.03,84.98,10.18,31.33,17.62,25.85,19.19,28.59,6.66,14.88,7.05,21.93,28.2,47.78,Abilene Christian Wildcats
Christian Alston,280.8,485.6,-17.75,88.10932082398531,105.85972027244839,88.11,103.81,30.8,82.19,6.12,24.68,20.4,30.19,19.58,31.61,7.14,12.03,5.1,23.05,31.21,51.19,Abilene Christian Wildcats
Ethan Greenberg,807.1,1362.6,-24.4,93.42764515178308,117.82979734298192,93.43,118.77,33.75,79.21,11.27,34.7,14.66,22.99,10.9,33.6,11.94,8.84,3.39,20.78,25.2,44.5,Air Force Falcons
Caleb Walker,486.8,823.1,-25.45,95.73361082206036,121.18288969945436,95.73,123.03,32.81,70.64,8.45,24.97,21.67,35.01,10.53,32.2,7.35,8.32,3.55,23.26,26.08,42.73,Air Force Falcons
Kam Sanders,890.4,1502.5,-27.43,91.19611818272459,118.62514786491394,91.2,118.32,32.44,76.71,9.77,32.24,16.55,25.39,10.17,32.5,10.97,8.11,3.72,21.4,24.99,42.67,Air Force Falcons
Lucas Hobin,858.7,1449.2,-27.5,92.83517091210727,120.33545143014585,92.84,120.76,32.49,76.38,10.16,32.63,17.7,25.85,10.51,32.97,11.27,7.47,3.66,21.84,28.2,43.48,Air Force Falcons
Kolby Gilles,363.4,594.8,-27.79,92.29349330872174,120.07915456191319,92.29,119.65,32.89,74.67,10.91,33.56,15.61,24.0,12.08,31.72,12.25,8.05,4.2,26.01,30.21,43.8,Air Force Falcons
A.J. Patterson,383.1,640.4,-29.08,88.4159461679903,117.50038959015114,88.42,117.99,30.67,73.71,8.45,28.48,18.62,28.01,11.11,31.61,12.21,9.39,3.44,24.1,30.2,42.72,Air Force Falcons
Wesley Celichowski,622.0,1037.1,-29.29,85.37350910232266,114.6653187955809,85.37,115.02,31.0,77.94,9.66,34.67,13.71,21.44,9.85,34.28,11.49,8.6,3.38,21.73,25.4,44.13,Air Force Falcons
