team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2,332,648,980,1708,606,1983.6000000000001
5,245,692,937,1473,531,1856.96
6,304,664,968,1562,831,1788.48
8,261,669,930,1598,608,1937.48
9,242,674,916,1341,490,1669.32
12,223,589,812,1470,539,1778.88
13,218,606,824,1246,412,1506.48
16,147,477,624,1030,363,1272.88
21,197,565,762,1265,584,1604.08
23,272,632,904,1331,526,1426.6399999999999
24,274,600,874,1557,623,1844.24
25,205,680,885,1452,479,1773.64
26,202,568,770,1400,544,1661.2
27,175,485,660,1156,403,1340.48
28,174,468,642,1033,346,1194.8
30,273,587,860,1610,568,1832.6000000000001
36,207,500,707,1272,566,1527.84
38,236,602,838,1488,507,1795.28
41,205,446,651,1081,367,1316.84
42,192,483,675,1069,426,1259.92
44,102,219,321,529,155,633.96
45,167,357,524,925,338,1040.52
46,227,517,744,1319,510,1487.32
47,60,138,198,333,137,361.44
48,127,323,450,796,276,935.96
50,222,448,670,1110,400,1328.52
52,224,432,656,1160,475,1405.6
55,266,574,840,1521,637,1702.88
56,208,584,792,1307,500,1576.68
57,250,468,718,1227,419,1481.72
58,178,491,669,1116,471,1350.04
59,224,569,793,1305,455,1597.48
61,288,615,903,1549,581,1891.2
62,168,475,643,1159,346,1384.4
66,265,612,877,1353,465,1602.16
68,200,610,810,1415,496,1746.2
70,205,518,723,1190,435,1415.92
71,255,662,917,1516,656,1788.68
77,203,617,820,1320,564,1593.68
79,193,627,820,1333,546,1587.44
82,214,573,787,1271,333,1463.3600000000001
84,248,684,932,1479,555,1772.08
85,139,465,604,982,341,1224.08
87,249,612,861,1520,547,1607.24
91,151,387,538,968,476,1225.92
93,226,569,795,1419,583,1719.56
94,260,525,785,1314,480,1545.76
96,273,586,859,1460,508,1684.6
97,179,447,626,1083,448,1255.8
98,203,533,736,1420,570,1683.8799999999999
99,301,593,894,1524,685,1752.3999999999999
100,9,29,38,65,23,73.84
103,180,530,710,1147,403,1372.04
104,141,391,532,934,332,1073.72
107,171,416,587,934,309,1117.76
111,158,449,607,1005,312,1175.24
113,108,372,480,754,218,953.76
116,171,465,636,1117,366,1283.76
117,48,118,166,259,102,286.03999999999996
119,180,408,588,1007,409,1147.88
120,231,670,901,1533,648,1774.44
127,243,648,891,1503,510,1778.44
130,208,480,688,1340,427,1504.52
135,317,764,1081,1608,516,1898.44
139,135,397,532,952,370,1221.56
140,163,519,682,1065,403,1511.44
142,247,567,814,1348,451,1611.8
145,223,570,793,1306,493,1672.52
147,169,484,653,1112,437,1402.36
149,237,576,813,1392,465,1691.92
150,211,529,740,1260,401,1529.0
151,165,479,644,979,420,1238.04
152,239,514,753,1244,421,1508.68
153,241,562,803,1499,581,1777.12
154,175,542,717,1155,416,1411.28
155,224,672,896,1461,464,1732.04
156,269,642,911,1536,600,1755.16
158,278,753,1031,1628,744,1888.68
160,133,494,627,962,342,1215.92
161,282,607,889,1460,562,1732.8
164,248,623,871,1377,499,1642.0
166,124,382,506,887,325,1110.08
167,209,526,735,1209,510,1441.2
179,176,388,564,937,422,1094.28
183,291,591,882,1414,618,1616.1200000000001
189,259,680,939,1467,575,1738.32
193,215,555,770,1284,530,1482.84
194,247,608,855,1491,567,1734.92
195,184,488,672,1167,460,1422.8
196,6,26,32,61,29,78.68
197,292,590,882,1564,588,1842.2
198,271,621,892,1448,485,1688.04
201,232,613,845,1384,526,1602.32
202,246,527,773,1215,517,1483.92
204,242,629,871,1391,525,1712.0
213,188,611,799,1284,481,1614.92
214,70,111,181,280,93,287.56
218,156,391,547,877,341,1008.6800000000001
221,189,504,693,1189,485,1427.28
222,169,516,685,1168,474,1393.04
224,22,83,105,188,89,225.16
226,13,36,49,84,24,94.4
227,243,599,842,1438,540,1712.08
228,192,528,720,1153,475,1426.88
231,220,566,786,1372,533,1691.08
232,157,448,605,989,398,1194.52
233,194,594,788,1346,539,1606.44
235,200,526,726,1231,473,1582.72
236,209,661,870,1459,517,1726.84
238,213,578,791,1292,482,1594.8
239,232,471,703,1216,421,1535.0
241,50,118,168,266,78,301.48
242,231,647,878,1574,551,1816.2
