athlete_id,o_rapm,d_rapm,rapm,o_rapm_bp,d_rapm_bp,rapm_bp,athlete_display_name,team_id,team_display_name,total_poss
4592945,2.5,1.47,3.9699999999999998,2.33,1.51,3.84,Isaiah Powell,261,Vermont Catamounts,1360.96
4066789,2.5,1.47,3.9699999999999998,2.75,1.59,4.34,Ben Shungu,261,Vermont Catamounts,1360.96
4278493,2.62,1.27,3.89,2.55,1.27,3.82,Justin Mazzulla,261,Vermont Catamounts,1292.48
4397759,2.78,1.04,3.82,2.75,1.15,3.9,Finn Sullivan,261,Vermont Catamounts,1165.72
4395712,2.12,1.58,3.7,2.31,1.63,3.94,Andrew Nembhard,2250,Gonzaga Bulldogs,1194.56
4431695,2.12,1.58,3.7,2.33,1.64,3.9699999999999998,Drew Timme,2250,Gonzaga Bulldogs,1194.56
4397242,2.12,1.58,3.7,2.12,1.56,3.68,Rasir Bolton,2250,Gonzaga Bulldogs,1194.56
4396597,2.26,1.37,3.63,2.64,1.39,4.03,Ryan Davis,261,Vermont Catamounts,1171.96
4432181,2.01,1.55,3.5599999999999996,2.02,1.55,3.5700000000000003,Julian Strawther,2250,Gonzaga Bulldogs,1125.76
4433255,2.01,1.55,3.5599999999999996,2.16,1.94,4.1,Chet Holmgren,2250,Gonzaga Bulldogs,1125.76
4278347,1.55,1.5,3.05,1.35,1.43,2.7800000000000002,Carter Collins,93,Murray State Racers,1318.64
4279886,1.55,1.5,3.05,1.69,1.63,3.32,Tevin Brown,93,Murray State Racers,1318.64
4594111,1.55,1.5,3.05,1.49,1.54,3.0300000000000002,DJ Burns,93,Murray State Racers,1318.64
4703264,1.55,1.5,3.05,1.69,1.5,3.19,Justice Hill,93,Murray State Racers,1318.64
4398348,1.55,1.5,3.05,1.93,1.71,3.6399999999999997,KJ Williams,93,Murray State Racers,1318.64
4593842,2.16,0.79,2.95,2.4,0.85,3.25,Douglas Wilson,2571,South Dakota State Jackrabbits,1390.84
4397127,1.55,1.36,2.91,1.55,1.42,2.9699999999999998,Jules Bernard,26,UCLA Bruins,1454.48
4593841,2.4,0.47,2.87,2.71,0.63,3.34,Baylor Scheierman,2571,South Dakota State Jackrabbits,1461.88
4279531,2.4,0.47,2.87,2.26,0.52,2.78,Alex Arians,2571,South Dakota State Jackrabbits,1461.88
4702372,1.83,0.97,2.8,1.96,1.06,3.02,Azuolas Tubelis,12,Arizona Wildcats,1492.08
4397081,1.33,1.28,2.6100000000000003,1.42,1.39,2.8099999999999996,Kyler Edwards,248,Houston Cougars,1307.52
4433159,1.8,0.81,2.6100000000000003,1.75,0.84,2.59,Dalen Terry,12,Arizona Wildcats,1636.24
4683634,1.8,0.81,2.6100000000000003,1.97,0.84,2.81,Bennedict Mathurin,12,Arizona Wildcats,1636.24
4431778,1.8,0.81,2.6100000000000003,1.85,0.91,2.7600000000000002,Christian Koloko,12,Arizona Wildcats,1636.24
