athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5241629,4.22,0.88,5.1,983.72,Kamryn Thomas,Omaha Mavericks,F
5176305,2.93,2.17,5.1,543.01,Miles Klapper,Idaho Vandals,G
5101667,2.02,3.08,5.1,625.85,Ramone Seals,Kennesaw State Owls,F
4432692,0.96,4.13,5.09,1267.79,Casey Simmons,Yale Bulldogs,G
5107655,-0.95,6.04,5.08,1218.92,Arnas Sakenis,SIU Edwardsville Cougars,C
5313560,3.19,1.9,5.08,1834.16,Wes Enis,South Florida Bulls,G
4897302,2.36,2.72,5.08,1466.38,Owen Dease,Valparaiso Beacons,F
5241916,0.91,4.17,5.08,817.25,Abdulai Fanta Kabba,Western Carolina Catamounts,C
5186456,1.45,3.63,5.08,721.8,Dwayne Aristode,Arizona Wildcats,F
5107453,2.12,2.95,5.07,1027.22,Jayland Randall,New Mexico State Aggies,G
5103590,5.12,-0.05,5.07,1396.29,Brandon Rechsteiner,Colorado State Rams,G
5175952,3.6,1.47,5.07,1825.49,Malik Mack,Georgetown Hoyas,G
5093253,0.67,4.39,5.06,962.44,Kyan Evans,North Carolina Tar Heels,G
5239866,2.95,2.11,5.06,1074.37,Josh Meo,Winthrop Eagles,G
5313754,2.48,2.57,5.05,752.24,Gavin Gores,Wyoming Cowboys,F
5311752,-1.12,6.17,5.04,965.92,Alliou Fall,Iona Gaels,F
5174621,2.19,2.85,5.04,1473.16,Tyson Brown,Radford Highlanders,F
5105612,0.53,4.51,5.04,1447.54,RJ Smith,DePaul Blue Demons,G
4683784,0.54,4.49,5.03,770.26,Isaiah West,Belmont Bruins,G
5144153,2.89,2.13,5.02,673.95,Kareem Stagg,Georgia Bulldogs,F
5174608,3.95,1.06,5.01,1515.7,Tunde Vahlberg Fasasi,William & Mary Tribe,F
5177717,3.23,1.77,5.0,1357.72,Malek Gomma,Weber State Wildcats,F
5177690,3.34,1.66,5.0,1531.67,Corey Camper Jr.,Nevada Wolf Pack,G
5060705,2.42,2.58,4.99,1587.88,Zoom Diallo,Washington Huskies,G
5176798,1.71,3.28,4.99,1173.98,Eren Banks,App State Mountaineers,G
4897054,2.49,2.49,4.99,1654.6,CJ Anthony,Iona Gaels,G
5311901,3.2,1.78,4.98,1379.26,Noah Meeusen,Arizona State Sun Devils,G
5176758,2.55,2.42,4.98,1580.4,Tre'Von Spillers,Wake Forest Demon Deacons,F
5241239,2.47,2.5,4.97,1323.83,Zaon Collins,Fresno State Bulldogs,G
5101672,4.12,0.85,4.97,1264.73,Daniel Freitag,Buffalo Bulls,G
4898194,0.46,4.5,4.97,1504.89,Keaton Norris,Samford Bulldogs,G
5314591,3.8,1.16,4.97,1531.72,Lateef Patrick,Stephen F. Austin Lumberjacks,G
5105859,1.9,3.07,4.96,1244.59,Antwone Woolfolk,Miami (OH) RedHawks,F
5105876,3.78,1.18,4.96,1733.37,Lamar Wilkerson,Indiana Hoosiers,G
5107986,1.4,3.56,4.96,1363.64,Ose Okojie,Howard Bison,G
5239523,1.85,3.11,4.96,1079.27,Roberts Blums,Davidson Wildcats,G
5105844,5.44,-0.48,4.96,1516.86,Kanye Clary,Oklahoma State Cowboys,G
4915060,3.06,1.88,4.94,995.21,John Bol,UCF Knights,C
5239600,2.75,2.19,4.94,1052.94,Dezdrick Lindsay,Oregon Ducks,F
5176160,2.16,2.78,4.94,674.1,Josh Holloway,Texas A&M Aggies,G
