Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"Jalone Friday, Payten Ricks",40.0,87.5,3.36,95.40229885057471,92.04545454545455,95.4,93.1,54.02,90.8,12.64,24.14,0.0,0.0,6.9,26.44,0.0,8.05,2.3,16.09,28.74,33.34,Abilene Christian Wildcats
"Hayden Howell, Jalone Friday",165.0,320.5,3.24,87.78135048231512,84.54545454545455,87.78,89.71,45.98,92.93,11.58,30.55,0.0,0.0,11.58,27.97,0.0,7.4,3.54,18.65,29.9,39.55,Abilene Christian Wildcats
"Hayden Howell, Isaiah Tripp",205.0,402.5,2.43,84.22391857506362,81.79611650485437,84.22,85.75,46.56,90.59,9.92,27.74,0.0,0.0,11.2,27.74,0.0,8.65,3.56,20.61,32.06,38.94,Abilene Christian Wildcats
"Hayden Howell, Jaylen Franklin",325.0,648.5,0.78,84.82003129890454,84.04255319148936,84.82,86.54,47.1,90.92,9.7,25.67,0.0,0.0,10.02,26.6,0.0,9.39,3.44,19.09,30.83,36.62,Abilene Christian Wildcats
"Hayden Howell, Jaren Lewis",365.0,724.5,0.73,84.29172510518934,83.55978260869566,84.29,86.26,46.14,91.44,9.82,25.81,0.0,0.0,10.52,27.21,0.0,8.98,3.65,19.07,30.15,37.73,Abilene Christian Wildcats
"Hayden Farquhar, Jalone Friday",120.0,244.0,0.61,88.21138211382113,87.60330578512396,88.21,86.18,47.15,95.93,10.16,23.98,0.0,0.0,13.82,30.49,0.0,8.54,4.47,17.89,21.54,44.31,Abilene Christian Wildcats
"Jaren Lewis, Trey Lenox",40.0,76.0,0.24,79.72972972972973,79.48717948717949,79.73,83.78,37.84,95.95,10.81,27.03,0.0,0.0,14.86,32.43,0.0,5.41,5.41,18.92,24.32,47.29,Abilene Christian Wildcats
"Jalone Friday, Trey Lenox",40.0,76.0,0.24,79.72972972972973,79.48717948717949,79.73,83.78,37.84,95.95,10.81,27.03,0.0,0.0,14.86,32.43,0.0,5.41,5.41,18.92,24.32,47.29,Abilene Christian Wildcats
"Hayden Howell, Trey Lenox",40.0,76.0,0.24,79.72972972972973,79.48717948717949,79.73,83.78,37.84,95.95,10.81,27.03,0.0,0.0,14.86,32.43,0.0,5.41,5.41,18.92,24.32,47.29,Abilene Christian Wildcats
"Hayden Farquhar, Trey Lenox",40.0,76.0,0.24,79.72972972972973,79.48717948717949,79.73,83.78,37.84,95.95,10.81,27.03,0.0,0.0,14.86,32.43,0.0,5.41,5.41,18.92,24.32,47.29,Abilene Christian Wildcats
