team_id,athlete_id,on_court_pts,pts_scored,pts_ast,scored_pct,assist_pct,resp_pct
45,5174600,3,3,0,1.0,0.0,1.0
57,5174660,3,3,0,1.0,0.0,1.0
99,5239549,3,0,3,0.0,1.0,1.0
153,5312013,2,2,0,1.0,0.0,1.0
183,5331892,3,3,0,1.0,0.0,1.0
219,5241733,2,0,2,0.0,1.0,1.0
222,5240540,2,2,0,1.0,0.0,1.0
357,5314707,4,4,0,1.0,0.0,1.0
2026,5239584,2,2,0,1.0,0.0,1.0
2166,5105870,3,3,0,1.0,0.0,1.0
2193,5314500,4,2,2,0.5,0.5,1.0
2199,4401637,2,2,0,1.0,0.0,1.0
2309,5315165,3,3,0,1.0,0.0,1.0
2390,5214525,2,0,2,0.0,1.0,1.0
2529,5243022,2,2,0,1.0,0.0,1.0
2567,5101828,3,0,3,0.0,1.0,1.0
2638,5113182,3,3,0,1.0,0.0,1.0
2752,5240541,1,1,0,1.0,0.0,1.0
282,5241385,7,3,3,0.4286,0.4286,0.8571
2803,5239719,5,4,0,0.8,0.0,0.8
24,5238186,4,3,0,0.75,0.0,0.75
338,5106665,8,4,2,0.5,0.25,0.75
2655,5106640,8,6,0,0.75,0.0,0.75
333,4433289,11,2,6,0.1818,0.5455,0.7273
2541,5109791,18,13,0,0.7222,0.0,0.7222
159,5241723,10,7,0,0.7,0.0,0.7
2739,5313198,33,21,2,0.6364,0.0606,0.697
349,5243046,13,3,6,0.2308,0.4615,0.6923
66,5311915,3,2,0,0.6667,0.0,0.6667
154,5105342,3,2,0,0.6667,0.0,0.6667
350,5242588,9,6,0,0.6667,0.0,0.6667
2065,5106709,9,6,0,0.6667,0.0,0.6667
2382,5314530,6,4,0,0.6667,0.0,0.6667
2523,5106795,3,2,0,0.6667,0.0,0.6667
2634,5314355,3,2,0,0.6667,0.0,0.6667
2296,4432638,1104,437,264,0.3958,0.2391,0.635
2174,5313184,49,21,10,0.4286,0.2041,0.6327
301,5313155,35,15,7,0.4286,0.2,0.6286
2241,5108113,8,2,3,0.25,0.375,0.625
2655,5314345,8,0,5,0.0,0.625,0.625
127,4711255,1260,352,423,0.2794,0.3357,0.6151
304,4898348,451,176,101,0.3902,0.2239,0.6142
2294,5311843,31,10,9,0.3226,0.2903,0.6129
28,5241960,5,3,0,0.6,0.0,0.6
82,5241421,5,0,3,0.0,0.6,0.6
116,5314335,5,0,3,0.0,0.6,0.6
2086,5175355,5,0,3,0.0,0.6,0.6
2182,5105783,5,3,0,0.6,0.0,0.6
2241,5175658,10,3,3,0.3,0.3,0.6
2241,5240418,5,3,0,0.6,0.0,0.6
2437,5241627,5,3,0,0.6,0.0,0.6
2653,5313364,10,2,4,0.2,0.4,0.6
2908,5176345,10,0,6,0.0,0.6,0.6
2916,5176183,5,0,3,0.0,0.6,0.6
91,5239766,26,12,3,0.4615,0.1154,0.5769
2005,5248174,35,16,4,0.4571,0.1143,0.5714
2426,5176094,7,2,2,0.2857,0.2857,0.5714
21,5107803,9,5,0,0.5556,0.0,0.5556
