athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
5176801,2.42,-0.54,1.87,1267.63,Avantae Parker,Queens University Royals,F
5105804,-1.39,3.27,1.87,1040.84,Caelum Swanton-Rodger,Old Dominion Monarchs,F
4683782,2.67,-0.8,1.87,1757.95,Curtis Williams Jr.,Tulane Green Wave,G
5107273,1.83,0.04,1.87,1580.24,Damari Wheeler-Thomas,North Dakota State Bison,G
5240368,2.86,-0.99,1.86,982.59,Babatunde Durodola,Temple Owls,F
5177247,0.29,1.57,1.86,1730.54,AJ Dancler,Coastal Carolina Chanticleers,G
5259802,-0.76,2.62,1.86,1698.44,Alex Mirhosseini,Arkansas-Pine Bluff Golden Lions,G
5313119,-0.47,2.33,1.86,1138.03,Tyler Bike,New Hampshire Wildcats,G
5241352,2.09,-0.24,1.85,761.85,Kai Burdick,Southern Utah Thunderbirds,C
4712836,3.89,-2.04,1.85,1242.47,Seth Trimble,North Carolina Tar Heels,G
5242908,0.45,1.4,1.85,1409.66,Jaden Zimmerman,Quinnipiac Bobcats,G
5176166,2.83,-0.99,1.84,1421.34,Trent Middleton Jr.,North Carolina A&T Aggies,G
5314444,0.47,1.36,1.84,1180.67,Madden Collins,American University Eagles,G
5311921,-4.4,6.23,1.83,628.58,Dorin Buca,Kansas State Wildcats,C
5174615,1.22,0.61,1.83,729.79,Tarique Foster,UAlbany Great Danes,F
5317320,-0.99,2.81,1.83,1030.79,Binael Basil,Wagner Seahawks,F
5314849,1.09,0.74,1.83,1388.97,Elijah Duval,Southern Utah Thunderbirds,G
5312338,-2.65,4.47,1.82,1419.96,Eric Dibami,Florida International Panthers,F
5174452,-1.2,3.01,1.81,1087.9,Jayce Nathaniel,UIC Flames,F
4690766,-0.63,2.44,1.81,1021.0,Kaleb Brown,Robert Morris Colonials,G
5313554,1.89,-0.08,1.81,937.51,King-Njhsanni Wilhite,Lamar Cardinals,G
5243034,-1.91,3.72,1.8,1062.31,Tim Oboh,Buffalo Bulls,C
5107843,-0.42,2.22,1.8,574.92,Luca Colceag,UT Martin Skyhawks,F
5117583,0.05,1.75,1.8,857.08,Jimmy Oladokun Jr.,Rice Owls,F
5177575,2.05,-0.25,1.8,1242.04,Cbo Newton,Abilene Christian Wildcats,G
5312011,2.05,-0.25,1.8,877.35,Austin Goode,Cal Poly Mustangs,F
5314179,0.41,1.39,1.8,1425.04,Christian Meeks,Morgan State Bears,G
5242638,-0.95,2.75,1.8,791.28,Abdou Khadre Kébé,Mount St. Mary's Mountaineers,G
5107349,0.62,1.18,1.79,1451.88,Taeshaud Jackson,Fairleigh Dickinson Knights,F
5101768,-1.17,2.96,1.79,1110.31,Isaiah Campbell-Finch,Samford Bulldogs,G
5176167,-0.57,2.36,1.79,1510.74,Mason Jones,Ball State Cardinals,F
5243381,1.96,-0.17,1.78,1608.68,Jake Lemelman,Mercyhurst Lakers,G
5239797,0.77,1.01,1.78,1603.5,Donte Bacchus,North Alabama Lions,F
5241257,-0.47,2.25,1.78,900.03,James Evans Jr.,Cal State Northridge Matadors,G
5311867,-0.06,1.83,1.77,649.81,Alexander Richardson,Loyola Chicago Ramblers,C
4707808,2.64,-0.87,1.77,711.67,Tyler Schmidt,Towson Tigers,G
4845379,1.75,0.01,1.77,669.43,Tristan Gross,Mercer Bears,G
5107895,4.33,-2.57,1.76,1268.72,Brian Moore Jr.,Grand Canyon Lopes,G
5315084,2.77,-1.01,1.76,1440.73,Davante Hackett,Stonehill Skyhawks,G
5101776,2.07,-0.31,1.76,1276.21,Jalen Reece,LSU Tigers,G
5332491,-0.93,2.69,1.76,604.15,Xzayvion Childress,Mississippi Valley State Delta Devils,G
5176465,0.43,1.32,1.76,1226.14,Kilian Brockhoff,William & Mary Tribe,F
5313212,1.89,-0.14,1.75,1753.33,Kyler D'Augustino,IU Indianapolis Jaguars,G
4884257,-1.08,2.82,1.74,1048.2,Isaiah Coleman,Oklahoma State Cowboys,G
5176836,1.16,0.58,1.74,1185.64,Darius Duffy,Purdue Fort Wayne Mastodons,F
5106040,1.41,0.33,1.74,1110.15,Tobi Lawal,Virginia Tech Hokies,F
5105560,2.56,-0.82,1.73,1698.3,Erik Pratt,Stony Brook Seawolves,G
4687377,1.57,0.16,1.73,704.96,Grant Slatten,Tennessee Tech Golden Eagles,G
5314832,1.66,0.07,1.73,1077.95,Jordan Muller,California Baptist Lancers,G
5313722,-0.11,1.83,1.72,545.06,Yuval Levin,Purdue Fort Wayne Mastodons,F
5107878,0.52,1.19,1.72,966.85,C.J. Jones,Kansas State Wildcats,G
5243023,0.34,1.38,1.72,605.22,Fallou Gueye,Sacred Heart Pioneers,G
5178200,1.33,0.38,1.72,1179.43,Seneca Willoughby,Bethune-Cookman Wildcats,G
5237300,0.58,1.13,1.71,1438.08,Omari Witherspoon,Pittsburgh Panthers,G
5243049,0.62,1.08,1.71,1201.54,Jaxson Bell,Army Black Knights,G
5149116,-0.87,2.58,1.71,602.07,Ty Davis,Creighton Bluejays,G
5107258,-1.36,3.06,1.7,1499.11,William Kyle III,Syracuse Orange,F
5241611,0.27,1.43,1.7,1286.04,Cole Franklin,North Texas Mean Green,G
5240935,0.67,1.03,1.7,1720.95,Dovydas Butka,Campbell Fighting Camels,F
5312333,2.49,-0.8,1.69,1417.65,Alex Kazanecki,Delaware Blue Hens,G
5316049,2.05,-0.36,1.69,1094.68,Alex Steen,Florida State Seminoles,F
5241622,-2.0,3.69,1.69,659.6,Josiah Moore,Tulane Green Wave,G
5325879,-0.18,1.86,1.68,1179.0,Antonio Baker Jr.,Florida A&M Rattlers,G
4585602,0.05,1.62,1.67,906.96,D'Avian Houston,Texas A&M-Corpus Christi Islanders,G
5241305,-0.41,2.09,1.67,793.01,Alex Dupre,Portland State Vikings,G
5095155,1.79,-0.12,1.67,1555.01,Derrion Reid,Oklahoma Sooners,F
5240883,1.49,0.17,1.66,1508.57,Isaiah Sy,Oregon State Beavers,F
5243382,3.81,-2.15,1.66,1459.64,Jesse Hafemeister,Charleston Southern Buccaneers,F
5313731,-0.95,2.61,1.66,1121.5,Darius Livingston,Robert Morris Colonials,G
5176670,2.28,-0.62,1.65,971.25,Jae Slack,North Carolina Central Eagles,F
5242764,1.47,0.18,1.65,1589.02,Azmar Abdullah,Boston University Terriers,G
5180962,-1.7,3.34,1.64,509.54,Mikhail Pocknett,Buffalo Bulls,F
