athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
66260,2.54,0.91,3.45,Johnathan Williams,2250,Gonzaga Bulldogs,1331.32
3155940,2.54,0.91,3.45,Silas Melson,2250,Gonzaga Bulldogs,1331.32
4066651,2.54,0.91,3.45,Killian Tillie,2250,Gonzaga Bulldogs,1331.32
3155941,2.54,0.91,3.45,Josh Perkins,2250,Gonzaga Bulldogs,1331.32
4066649,2.44,0.97,3.41,Zach Norvell Jr.,2250,Gonzaga Bulldogs,1265.72
3934621,1.2,1.91,3.11,Jacob Evans,2132,Cincinnati Bearcats,1316.76
4066486,1.2,1.91,3.11,Jarron Cumberland,2132,Cincinnati Bearcats,1316.76
3934619,1.2,1.91,3.11,Justin Jenifer,2132,Cincinnati Bearcats,1316.76
66137,1.2,1.91,3.11,Kyle Washington,2132,Cincinnati Bearcats,1316.76
3132042,1.2,1.91,3.11,Gary Clark,2132,Cincinnati Bearcats,1316.76
3149018,1.01,1.72,2.73,Stephen Brown,2083,Bucknell Bison,1520.96
3149021,1.01,1.72,2.73,Zach Thomas,2083,Bucknell Bison,1520.96
3149020,1.01,1.72,2.73,Nana Foulland,2083,Bucknell Bison,1520.96
3136544,1.63,1.08,2.71,Marcus Stroman,309,Louisiana Ragin' Cajuns,1322.92
3134915,1.63,1.08,2.71,Malik Marquetti,309,Louisiana Ragin' Cajuns,1322.92
67628,0.74,1.88,2.62,Brandon Goodwin,526,Florida Gulf Coast Eagles,1162.32
3130509,0.92,1.68,2.6,Zach Johnson,526,Florida Gulf Coast Eagles,1243.8799999999999
3912275,0.56,2.03,2.59,A.J. Harris,166,New Mexico State Aggies,1122.28
4067470,0.56,2.03,2.59,Sidy N'Dir,166,New Mexico State Aggies,1122.28
3149667,0.56,2.03,2.59,Johnathon Wilkins,166,New Mexico State Aggies,1122.28
66770,0.96,1.53,2.49,Jonathan Stark,93,Murray State Racers,1326.32
4067186,0.96,1.53,2.49,Terrell Miller Jr.,93,Murray State Racers,1326.32
