Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
Leonardo Bettiol,850.0,1685.0,1.12,91.80522565320665,90.68801897983393,91.81,90.8,52.14,99.7,6.65,18.76,0.0,0.0,15.44,31.83,0.0,8.85,3.09,15.74,24.35,47.27,Abilene Christian Wildcats
Ali Abdou Dibba,1055.0,2157.5,0.46,90.24051803885291,89.78169995355319,90.24,89.41,52.36,98.61,6.24,17.95,0.0,0.0,14.62,29.69,0.0,9.25,2.31,16.0,24.65,44.31,Abilene Christian Wildcats
Kavion McClain,1175.0,2381.0,-2.18,88.01341156747695,90.1936026936027,88.01,89.82,51.13,98.87,6.24,18.94,0.0,0.0,14.88,30.13,0.0,9.09,2.6,16.01,24.06,45.01,Abilene Christian Wildcats
Hunter Jack Madden,1215.0,2466.5,-2.53,87.93033616848926,90.46266233766234,87.93,90.28,50.95,98.54,6.36,19.0,0.0,0.0,14.62,29.89,0.0,9.23,2.55,16.08,24.14,44.51,Abilene Christian Wildcats
Aidan Igiehon,40.0,88.5,-2.72,85.0574712643678,87.77777777777777,85.06,90.8,52.87,102.3,5.75,21.84,0.0,0.0,18.39,24.14,0.0,9.2,1.15,16.09,28.74,42.53,Abilene Christian Wildcats
Airion Simmons,1095.0,2198.0,-4.72,86.08458390177354,90.80564406008193,86.08,90.72,50.25,97.86,6.05,18.33,0.0,0.0,14.05,29.56,0.0,9.37,2.82,16.19,24.1,43.61,Abilene Christian Wildcats
Cameron Steele,485.0,1044.0,-6.36,83.04761904761905,89.40269749518305,83.05,88.38,49.33,98.38,6.48,20.76,0.0,0.0,14.19,27.71,0.0,9.71,1.62,15.81,23.33,41.9,Abilene Christian Wildcats
Nasir DeGruy,120.0,236.5,-8.45,88.26086956521739,96.70781893004116,88.26,102.17,45.65,92.17,10.0,27.39,0.0,0.0,11.74,32.17,0.0,8.7,3.48,19.57,23.04,43.91,Abilene Christian Wildcats
JV Seat,40.0,75.5,-43.68,57.692307692307686,101.36986301369863,57.69,94.87,35.9,97.44,3.85,21.79,0.0,0.0,15.38,24.36,0.0,12.82,0.0,17.95,17.95,39.74,Abilene Christian Wildcats
Chase Beasley,445.0,805.5,4.18,91.7910447761194,87.6084262701363,91.79,87.94,49.5,97.26,10.57,31.59,0.0,0.0,14.3,34.33,0.0,10.45,6.47,17.04,23.88,48.63,Air Force Falcons
Jeffrey Mills,1050.0,1868.0,-2.44,95.81749049429658,98.25857519788919,95.82,101.14,49.32,96.8,12.71,34.33,0.0,0.0,14.23,30.58,0.0,9.61,5.76,17.44,24.5,44.81,Air Force Falcons
Kellan Boylan,1130.0,1998.5,-4.28,94.83640081799591,99.11807937285644,94.84,103.43,48.52,95.71,12.58,34.92,0.0,0.0,12.83,30.62,0.0,9.15,5.88,17.13,25.2,43.45,Air Force Falcons
Beau Becker,1250.0,2205.0,-4.56,94.99768411301528,99.55575299866726,95.0,103.8,48.68,96.34,12.64,35.06,0.0,0.0,13.57,30.11,0.0,9.36,5.65,17.23,25.24,43.68,Air Force Falcons
Ethan Taylor,1250.0,2205.0,-4.56,94.99768411301528,99.55575299866726,95.0,103.8,48.68,96.34,12.64,35.06,0.0,0.0,13.57,30.11,0.0,9.36,5.65,17.23,25.24,43.68,Air Force Falcons
Rytis Petraitis,805.0,1399.5,-9.33,96.90036900369003,106.23268698060942,96.9,113.21,48.19,95.79,13.87,37.12,0.0,0.0,13.14,27.6,0.0,8.71,5.17,17.34,26.05,40.74,Air Force Falcons
Byron Brown,320.0,543.5,-12.77,92.7063339731286,105.47703180212014,92.71,114.59,47.02,97.12,12.67,38.2,0.0,0.0,14.01,26.49,0.0,9.21,4.41,16.89,28.02,40.5,Air Force Falcons
Tavari Johnson,240.0,457.0,11.33,100.21551724137932,88.88888888888889,100.22,86.21,53.02,99.57,12.93,36.64,0.0,0.0,17.03,33.84,0.0,8.84,2.37,17.46,21.34,50.87,Akron Zips
Nate Johnson,805.0,1505.0,9.32,98.87862796833772,89.5582329317269,98.88,88.26,52.97,100.59,10.95,33.58,0.0,0.0,15.77,34.1,0.0,7.78,3.1,15.17,22.3,49.87,Akron Zips
Greg Tribble,1324.7,2459.0,8.01,97.17855703345425,89.16700861715223,97.18,87.59,52.52,101.05,10.68,32.89,0.0,0.0,16.28,34.95,0.0,7.46,3.63,15.24,22.13,51.23,Akron Zips
Enrique Freeman,1364.7,2535.5,7.91,97.06342991386062,89.15375446960667,97.06,87.86,52.62,101.21,10.65,32.93,0.0,0.0,16.33,35.08,0.0,7.44,3.8,15.11,22.36,51.41,Akron Zips
Kaleb Thornton,159.7,295.0,7.8,96.94915254237289,89.15254237288136,96.95,89.15,54.24,106.44,11.19,35.25,0.0,0.0,20.0,38.98,0.0,5.42,6.1,13.56,24.07,58.98,Akron Zips
Sammy Hunter,1285.0,2394.0,7.7,97.09664039817503,89.39840134623475,97.1,88.14,52.76,101.04,10.58,32.81,0.0,0.0,16.09,34.76,0.0,7.55,3.69,15.06,22.48,50.85,Akron Zips
Ali Ali,1044.7,1936.5,7.39,96.55349794238684,89.16537065837221,96.55,88.48,52.83,101.85,10.03,32.3,0.0,0.0,15.9,35.39,0.0,6.94,3.86,14.04,22.94,51.29,Akron Zips
Mikal Dawson,519.7,953.5,5.98,93.84775808133472,87.86919831223628,93.85,86.86,51.51,101.46,10.11,31.6,0.0,0.0,16.79,36.6,0.0,7.19,4.9,15.33,22.21,53.39,Akron Zips
Shammah Scott,80.0,142.0,3.98,93.83561643835617,89.85507246376811,93.84,84.93,48.63,97.95,11.64,29.45,0.0,0.0,19.86,34.93,0.0,9.59,7.53,21.92,17.81,54.79,Akron Zips
Darius Osborne,479.9,984.0,5.52,85.43788187372708,79.91886409736308,85.44,80.24,52.75,100.41,5.09,17.82,0.0,0.0,18.74,31.67,0.0,9.67,4.48,18.33,25.36,50.41,Alabama A&M Bulldogs
Cameron Tucker,799.9,1640.5,-0.33,86.42201834862385,86.75577156743621,86.42,87.34,52.29,98.23,5.44,17.98,0.0,0.0,17.25,31.07,0.0,8.38,5.08,19.02,25.38,48.32,Alabama A&M Bulldogs
Chad Moodie,120.0,233.0,-2.23,89.65517241379311,91.88034188034187,89.66,92.67,52.16,93.97,5.6,15.95,0.0,0.0,15.52,35.34,0.0,6.9,5.6,21.55,23.28,50.86,Alabama A&M Bulldogs
EJ Williams,1124.9,2342.0,-7.32,82.92682926829268,90.24286322965487,82.93,90.63,50.96,98.46,4.88,17.5,0.0,0.0,17.46,29.82,0.0,9.16,4.41,19.0,24.99,47.28,Alabama A&M Bulldogs
Lorenzo Downey,1044.9,2161.5,-7.33,83.24074074074073,90.56865464632455,83.24,90.69,50.83,98.38,4.77,17.78,0.0,0.0,17.41,30.19,0.0,9.17,4.49,19.03,24.31,47.6,Alabama A&M Bulldogs
Omari Peek,1124.9,2343.5,-8.73,83.45477925417917,92.18351741716228,83.45,93.01,50.75,98.5,5.14,18.09,0.0,0.0,17.4,29.1,0.0,8.87,4.59,18.9,25.59,46.5,Alabama A&M Bulldogs
Austin Harvell,40.0,81.5,-10.89,81.70731707317073,92.5925925925926,81.71,91.46,54.88,98.78,4.88,14.63,0.0,0.0,17.07,29.27,0.0,2.44,6.1,18.29,30.49,46.34,Alabama A&M Bulldogs
Dailin Smith,765.0,1635.5,-15.75,81.75137783221066,97.4969474969475,81.75,97.8,50.03,97.49,5.27,18.37,0.0,0.0,16.11,26.94,0.0,9.12,3.98,18.62,25.17,43.05,Alabama A&M Bulldogs
