athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
5313712,2.14,-0.47,1.67,Brett White II,2473,Oakland Golden Grizzlies,1326.562167144032
5175049,0.7,0.97,1.67,Sterling Young,282,Indiana State Sycamores,1222.1820195108803
5311530,1.44,0.23,1.67,Rubén Dominguez,245,Texas A&M Aggies,1298.984142237078
4684799,1.32,0.34,1.67,Ven-Allen Lubin,152,NC State Wolfpack,1571.2787083669607
4896557,0.31,1.35,1.67,Tom House,231,Furman Paladins,1310.9949241508841
5241642,1.04,0.63,1.67,Treyson Anderson,2449,North Dakota State Bison,1048.5122608195013
4590359,1.29,0.37,1.67,Matthew Mors,2571,South Dakota State Jackrabbits,1478.8789376786756
5144097,1.67,-0.0,1.66,Derek Dixon,153,North Carolina Tar Heels,1167.5735833109466
5107781,0.55,1.11,1.66,Braden Appelhans,2181,Drake Bulldogs,629.6257903940981
5242601,-0.15,1.81,1.66,Gabe Pickens,166,New Mexico State Aggies,1041.2856168924293
4705373,0.96,0.7,1.66,Freddy Hicks,2627,Tarleton State Texans,1225.4014911983359
5176352,0.42,1.24,1.66,Johnny Kinziger,2287,Illinois State Redbirds,1718.3413940885678
5105529,0.97,0.69,1.66,Riley Kugel,2116,UCF Knights,1511.694136845836
5238170,-0.49,2.14,1.66,Trey Parker,2550,Seton Hall Pirates,779.0603959581189
5241916,0.35,1.31,1.66,Abdulai Fanta Kabba,2717,Western Carolina Catamounts,841.8776770251515
4702765,0.13,1.53,1.65,Justin Amadi,116,Mount St. Mary's Mountaineers,1038.096359153745
5101660,0.3,1.35,1.65,Chase McCarty,248,Houston Cougars,611.9978727589321
5144392,1.08,0.57,1.65,Sebastian Rancik,38,Colorado Buffaloes,1417.9220482488074
5107811,0.62,1.03,1.65,Brendan Coyle,2561,Siena Saints,1643.839772606325
5243127,1.78,-0.13,1.65,Damarion Dennis,2751,Wyoming Cowboys,1215.0137166957722
5314630,1.85,-0.2,1.65,Michael Cooper,2750,Wright State Raiders,1314.4561953839454
5239825,1.23,0.42,1.65,Sean Blake,261,Vermont Catamounts,1580.9108900556944
5176031,0.86,0.78,1.64,Josh Scovens,2166,Davidson Wildcats,1270.4550797564755
5105463,1.34,0.31,1.64,Tanner Hayhurst,253,Southern Utah Thunderbirds,1593.452968126558
5314227,1.19,0.45,1.64,Will James Jr.,2649,Toledo Rockets,604.3152261722495
5176313,1.7,-0.06,1.64,Almar Atlason,193,Miami (OH) RedHawks,1035.0688282182364
5144387,0.64,1.0,1.64,Bryce Dortch,164,Rutgers Scarlet Knights,699.3162838137076
5241760,0.91,0.72,1.64,Tommy Kamarad,2737,Winthrop Eagles,1066.6687290377852
