Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
Drake Green,160.0,229.0,12.86,99.55555555555556,86.69527896995707,99.56,89.78,56.89,108.89,8.0,28.89,0.0,0.0,26.22,41.33,0.0,12.44,4.44,17.33,25.33,67.55,Abilene Christian Wildcats
B.J. Maxwell,40.0,92.0,9.28,87.05882352941177,77.77777777777779,87.06,90.59,49.41,85.88,9.41,21.18,0.0,0.0,5.88,24.71,0.0,12.94,4.71,20.0,36.47,30.59,Abilene Christian Wildcats
Jalone Friday,640.0,1241.5,4.64,89.75409836065575,85.11480601741884,89.75,88.11,49.92,94.1,8.2,24.43,0.0,0.0,12.54,32.13,0.0,9.26,5.16,18.44,27.54,44.67,Abilene Christian Wildcats
Jaren Lewis,680.0,1319.5,4.35,89.82266769468004,85.46944858420268,89.82,88.43,49.73,94.6,8.1,24.36,0.0,0.0,12.64,31.84,0.0,9.33,5.24,18.04,27.6,44.48,Abilene Christian Wildcats
Jaylen Franklin,680.0,1319.5,4.35,89.82266769468004,85.46944858420268,89.82,88.43,49.73,94.6,8.1,24.36,0.0,0.0,12.64,31.84,0.0,9.33,5.24,18.04,27.6,44.48,Abilene Christian Wildcats
Tevin Foster,680.0,1319.5,4.35,89.82266769468004,85.46944858420268,89.82,88.43,49.73,94.6,8.1,24.36,0.0,0.0,12.64,31.84,0.0,9.33,5.24,18.04,27.6,44.48,Abilene Christian Wildcats
Payten Ricks,440.0,921.0,3.76,88.92543859649122,85.16129032258064,88.93,86.84,49.12,92.98,7.89,23.57,0.0,0.0,9.98,30.15,0.0,8.33,5.7,17.0,27.41,40.13,Abilene Christian Wildcats
Hayden Farquhar,40.0,78.0,-0.23,90.9090909090909,91.13924050632912,90.91,93.51,46.75,102.6,6.49,23.38,0.0,0.0,14.29,27.27,0.0,10.39,6.49,11.69,28.57,41.56,Abilene Christian Wildcats
Trey Lenox,40.0,77.5,-20.33,74.66666666666667,95.0,74.67,101.33,36.0,81.33,9.33,24.0,0.0,0.0,12.0,32.0,0.0,8.0,2.67,30.67,26.67,44.0,Abilene Christian Wildcats
Pervis Louder,40.0,78.0,6.41,97.43589743589743,91.02564102564102,97.44,91.03,50.0,102.56,15.38,50.0,0.0,0.0,12.82,34.62,0.0,7.69,6.41,10.26,23.08,47.44,Air Force Falcons
CJ Siples,525.0,809.0,2.41,93.44262295081968,91.03030303030303,93.44,94.7,50.32,99.75,11.73,33.8,0.0,0.0,14.5,39.72,0.0,10.72,5.3,14.75,23.46,54.22,Air Force Falcons
Sid Tomes,285.0,438.0,-3.7,96.29629629629629,100.0,96.3,102.78,54.17,99.07,9.49,24.54,0.0,0.0,14.35,35.88,0.0,10.65,5.79,15.28,22.45,50.23,Air Force Falcons
Ryan Swan,685.0,1097.5,-5.21,90.74930619796486,95.9605026929982,90.75,98.89,50.51,98.98,9.81,29.88,0.0,0.0,14.15,34.32,0.0,10.55,4.72,15.17,24.05,48.47,Air Force Falcons
Trevor Lyons,765.0,1253.5,-5.42,90.55690072639226,95.97791798107255,90.56,98.22,49.88,99.19,10.09,30.67,0.0,0.0,14.37,34.62,0.0,9.93,4.52,15.17,23.49,48.99,Air Force Falcons
Frank Toohey,80.0,156.0,-6.86,89.24050632911393,96.1038961038961,89.24,93.67,45.57,100.63,12.03,36.08,0.0,0.0,15.82,36.71,0.0,5.7,3.16,15.19,19.62,52.53,Air Force Falcons
Ryan Manning,80.0,156.0,-6.86,89.24050632911393,96.1038961038961,89.24,93.67,45.57,100.63,12.03,36.08,0.0,0.0,15.82,36.71,0.0,5.7,3.16,15.19,19.62,52.53,Air Force Falcons
Jacob Van,240.0,443.5,-7.88,91.44144144144144,99.32279909706546,91.44,99.1,50.68,99.32,10.14,30.86,0.0,0.0,13.06,27.93,0.0,8.78,3.38,13.74,23.87,40.99,Air Force Falcons
Lavelle Scottie,645.0,1023.0,-8.54,89.91097922848664,98.45410628019323,89.91,100.79,50.84,99.31,9.1,27.7,0.0,0.0,14.54,33.63,0.0,10.48,4.65,15.23,23.94,48.17,Air Force Falcons
Caleb Morris,40.0,75.0,-9.62,75.0,84.61538461538461,75.0,91.67,36.11,88.89,6.94,27.78,0.0,0.0,15.28,38.89,0.0,8.33,1.39,26.39,20.83,54.17,Air Force Falcons
