athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
4897768,1.98,2.43,4.41,Bryce Harris,47,Howard Bison,853.1189351523893
5105401,2.3,1.86,4.16,MJ Collins Jr.,328,Utah State Aggies,1168.224444939541
5041935,2.45,1.65,4.1,Cameron Boozer,150,Duke Blue Devils,1162.4313246486483
5041953,1.5,2.48,3.98,Koa Peat,12,Arizona Wildcats,870.5273786573377
5061585,2.31,1.45,3.76,Isaiah Evans,150,Duke Blue Devils,993.0235115880239
5082206,1.82,1.84,3.66,Brayden Burries,12,Arizona Wildcats,1142.4148219291942
5175737,2.22,1.43,3.6500000000000004,Yaxel Lendeborg,130,Michigan Wolverines,1234.7411066790419
4917097,2.4,1.06,3.46,Robbie Avila,139,Saint Louis Billikens,920.3636295216951
5107251,1.45,1.91,3.36,Izaiyah Nelson,58,South Florida Bulls,1019.365439700546
5176075,0.87,2.47,3.3400000000000003,Cam Gillus,47,Howard Bison,924.0208377231681
5175171,1.5,1.8,3.3,Quentin Jones,139,Saint Louis Billikens,950.003834379415
5314778,1.82,1.48,3.3,Trevian Carson,2449,North Dakota State Bison,986.1076341788848
5109789,2.4,0.89,3.29,Jake Ensminger,2541,Santa Clara Broncos,994.278033852618
5174860,1.49,1.78,3.27,Ace Valentine,2378,UMBC Retrievers,1027.8002610437936
5107986,1.28,1.96,3.24,Ose Okojie,47,Howard Bison,741.365736127963
5077373,0.88,2.35,3.23,Garwey Dual,2377,McNeese Cowboys,1033.0919349506698
5176084,1.37,1.85,3.22,Cam Cole,2426,Navy Midshipmen,760.4959859515143
5241590,2.35,0.86,3.21,Terry Anderson,2272,High Point Panthers,981.6396825955034
5254165,2.87,0.33,3.2,Keaton Wagler,356,Illinois Fighting Illini,1195.8133312149046
4897432,1.01,2.11,3.12,Sam Hoiberg,158,Nebraska Cornhuskers,1143.1657479463322
4896936,1.36,1.74,3.1,Damon Nicholas Jr.,2534,Sam Houston Bearkats,1077.0869892136448
5105698,1.05,2.05,3.0999999999999996,Aidan Kehoe,2426,Navy Midshipmen,1094.0626520911658
5107904,1.49,1.6,3.09,Rob Martin,2272,High Point Panthers,949.3518336811904
