athlete_id,o_rapm,d_rapm,rapm,o_rapm_bp,d_rapm_bp,rapm_bp,athlete_display_name,team_id,team_display_name,total_poss
5061575,2.81,2.07,4.88,2.93,2.07,5.0,Kon Knueppel,150,Duke Blue Devils,1378.1581955850236
4711203,2.26,2.43,4.6899999999999995,2.81,2.52,5.33,Aniwaniwa Tait-Jones,28,UC San Diego Tritons,1162.7310591891492
4602025,2.47,1.79,4.26,2.44,1.77,4.21,Sion James,150,Duke Blue Devils,1301.1029164242332
5041939,2.5,1.68,4.18,2.92,1.98,4.9,Cooper Flagg,150,Duke Blue Devils,1183.3917199399607
5176420,1.78,2.23,4.01,1.81,2.49,4.300000000000001,Hayden Gray,28,UC San Diego Tritons,1212.8678117413324
4397152,2.13,1.59,3.7199999999999998,2.22,1.71,3.93,Jack Clark,2670,VCU Rams,1245.7914506356547
5060700,1.31,2.3,3.61,1.22,2.45,3.67,Joseph Tugler,248,Houston Cougars,1137.9487174729943
4683737,2.33,1.27,3.6,2.26,1.27,3.53,Nolan Hickman,2250,Gonzaga Bulldogs,1282.2686259709444
5203685,2.0,1.46,3.46,2.02,1.52,3.54,Khaman Maluach,150,Duke Blue Devils,1205.4284797727184
4701182,1.39,2.07,3.46,1.54,2.23,3.77,Mitchell Saxen,2608,Saint Mary's Gaels,1104.5923568430264
4701125,1.9,1.55,3.45,2.03,1.63,3.6599999999999997,Javohn Garcia,2377,McNeese Cowboys,1277.142959663773
4702973,2.0,1.33,3.33,1.96,1.34,3.3,Isaiah Gray,2006,Akron Zips,1189.9561464538933
5112189,1.29,2.02,3.31,1.27,1.99,3.26,Nordin Kapic,28,UC San Diego Tritons,1059.0953219441556
4897197,1.14,2.13,3.2699999999999996,1.3,2.18,3.4800000000000004,Augustas Marciulionis,2608,Saint Mary's Gaels,1208.3381525002317
5037873,1.26,1.97,3.23,1.24,2.0,3.24,Drake Powell,153,North Carolina Tar Heels,1032.229617336879
4433629,2.11,1.08,3.19,2.12,1.12,3.24,Ryan Nembhard,2250,Gonzaga Bulldogs,1304.4900348807344
4703883,1.61,1.52,3.13,1.6,1.55,3.1500000000000004,Tyler McGhie,28,UC San Diego Tritons,1185.4120432589327
5174955,1.14,1.96,3.0999999999999996,1.21,1.98,3.19,Paulius Murauskas,2608,Saint Mary's Gaels,1088.627069267236
4897262,2.01,1.02,3.03,2.06,1.08,3.14,Will Richard,57,Florida Gators,1279.4832388804564
4701184,0.96,2.08,3.04,0.9,2.05,2.9499999999999997,Luke Barrett,2608,Saint Mary's Gaels,1199.8609684511491
4897575,2.63,0.39,3.02,2.79,0.24,3.0300000000000002,Kezza Giffa,2272,High Point Panthers,1109.265007636649
5023693,1.98,1.05,3.0300000000000002,1.93,1.0,2.9299999999999997,Tyrese Proctor,150,Duke Blue Devils,1263.6355558302919
4590356,1.69,1.28,2.9699999999999998,1.79,1.35,3.14,Will Pruitt,288,Lipscomb Bisons,1311.5415553895186
4896372,1.75,1.21,2.96,1.91,1.31,3.2199999999999998,Walter Clayton Jr.,57,Florida Gators,1260.8704725229438
4701120,1.78,1.16,2.94,1.77,1.02,2.79,Phillip Russell,2670,VCU Rams,1046.3132263042835
4897493,1.64,1.29,2.9299999999999997,1.62,1.2,2.8200000000000003,Denver Jones,2,Auburn Tigers,1110.862804638887
4684163,1.35,1.54,2.89,1.2,1.65,2.8499999999999996,Chris Howell,28,UC San Diego Tritons,1144.5385979240257
4590360,1.27,1.58,2.85,1.43,1.69,3.12,Chucky Hepburn,97,Louisville Cardinals,1428.0723694618334
