athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
4285508,Justin Moore,2326,Le Tourneau Yellow Jackets,87.3138,114.4942,-27.1804,113.8978,100.4304,13.4674,-40.6478,,,,,,,,0.46,0.46,,0.0,0.54,0.4815,0.5806,0.5806,,0.0,0.5714,0.1471,20.1309,6.4201,15.0981,77.88,79.48,86.92,83.64,68.0,91.0,99.0,84.0,50.0,23.0,0.0,0.0,62.0,36.0,0.0,0.0,5.0,16.0,12.0,29.0
3147338,Jordan McRae,2066,Binghamton Bearcats,85.5342,104.4916,-18.9574,103.9239,82.0404,21.8835,-40.8409,,,,,,,,0.3929,0.3929,,0.0,0.1071,0.5,0.4035,0.4035,,0.0,0.8421,0.0857,49.9064,4.5018,9.3575,66.64,64.12,429.16,425.4,57.0,67.0,446.0,349.0,56.0,22.0,0.0,0.0,57.0,23.0,0.0,0.0,3.0,32.0,6.0,32.0
4278436,Corey Romich,294,Jacksonville Dolphins,96.9213,140.9748,-44.0535,92.575,95.3091,-2.7341,-41.3194,,,,,,,,0.3937,0.3937,,0.0,0.2205,0.8214,0.5887,0.5887,,0.0,0.5345,0.35,21.9609,19.9544,19.1272,140.32,141.16,1262.76,1261.16,136.0,199.0,1169.0,1202.0,127.0,50.0,0.0,0.0,124.0,73.0,0.0,0.0,28.0,31.0,27.0,52.0
4067328,Tobias Sjoberg,2368,Marist Red Foxes,99.3492,112.5623,-13.2131,105.3757,77.1792,28.1965,-41.4096,,,,,,,,0.4457,0.4457,,0.0,0.3653,0.7046,0.4471,0.4471,,0.0,0.7009,0.2274,36.7519,10.4739,15.6849,1966.8,1950.92,65.48,66.08,1954.0,2196.0,69.0,51.0,1492.0,665.0,0.0,0.0,1731.0,774.0,0.0,0.0,206.0,717.0,306.0,700.0
3946964,Eric Rwahwire,27,UC Riverside Highlanders,60.6796,115.1603,-54.4807,91.2125,104.1154,-12.9029,-41.5778,,,,,,,,0.2456,0.2456,,0.0,0.3158,0.5556,0.5,0.5,,0.0,0.6571,0.14,33.5277,10.6189,17.4927,65.92,68.6,899.0,893.24,40.0,79.0,820.0,930.0,57.0,14.0,0.0,0.0,64.0,32.0,0.0,0.0,7.0,23.0,12.0,43.0
4067274,Marcus Burk,2097,Campbell Fighting Camels,107.9256,100.2819,7.6437,131.4217,81.2274,50.1943,-42.5506,,,,,,,,0.4744,0.4744,,0.0,0.367,0.7478,0.437,0.437,,0.0,0.7263,0.224,37.0016,10.4152,13.9448,1987.48,1986.4,66.96,66.48,2145.0,1992.0,88.0,54.0,1545.0,733.0,0.0,0.0,1602.0,700.0,0.0,0.0,207.0,735.0,277.0,717.0
4067388,Precious Ayah,193,Miami (OH) Redhawks,88.165,117.5779,-29.4129,109.7365,96.4125,13.3241,-42.737,,,,,,,,0.3878,0.3878,,0.0,0.3673,0.7778,0.5323,0.5323,,0.0,0.6364,0.25,30.8642,11.9546,17.6367,66.92,68.04,923.12,922.08,59.0,80.0,1013.0,889.0,49.0,19.0,0.0,0.0,62.0,33.0,0.0,0.0,8.0,21.0,12.0,24.0
3160020,Jacob Broussard,309,Louisiana Ragin' Cajuns,80.859,98.9011,-18.0421,112.7378,87.0664,25.6714,-43.7136,,,,,,,,0.3393,0.3393,,0.0,0.4643,0.6538,0.4426,0.4426,,0.0,0.7632,0.2432,39.8352,11.93,12.3626,75.44,72.8,1158.44,1155.44,61.0,72.0,1306.0,1006.0,56.0,19.0,0.0,0.0,61.0,27.0,0.0,0.0,9.0,29.0,9.0,28.0
3143996,A.C. Reid,2634,Tennessee State Tigers,77.7346,122.9289,-45.1943,95.4443,96.2206,-0.7762,-44.4181,,,,,,,,0.3276,0.3276,,0.0,0.2759,0.625,0.6,0.6,,0.0,0.6,0.186,20.0428,11.1049,13.3618,72.04,74.84,623.4,633.96,56.0,92.0,595.0,610.0,58.0,19.0,0.0,0.0,60.0,36.0,0.0,0.0,8.0,15.0,10.0,35.0
4067645,Onno Steger,2717,Western Carolina Catamounts,72.4443,123.3509,-50.9066,96.217,102.6166,-6.3997,-44.5069,,,,,,,,0.3571,0.3571,,0.0,0.2857,0.5312,0.5085,0.5085,,0.0,0.6406,0.2317,27.0449,12.7448,15.1715,149.08,151.6,1523.64,1513.4,108.0,187.0,1466.0,1553.0,112.0,40.0,0.0,0.0,118.0,60.0,0.0,0.0,19.0,41.0,23.0,63.0
