athlete_id,athlete_display_name,team_display_name,o_rapm,d_rapm,rapm,o_pipm,d_pipm,pipm,delta,total_poss
4683860,Quadir Copeland,NC State Wolfpack,3.17,0.95,4.12,8.35,3.76,12.11,7.99,1565.572205358273
4873209,Patrick Ngongba II,Duke Blue Devils,1.85,3.16,5.01,3.62,8.47,12.09,7.08,1073.1718134023888
4858604,Pryce Sandfort,Nebraska Cornhuskers,2.23,2.87,5.1,6.17,5.85,12.02,6.92,1772.0816961727712
5105837,Bruce Thornton,Ohio State Buckeyes,3.16,1.16,4.32,7.61,4.35,11.96,7.64,1971.7408229562864
4896936,Damon Nicholas Jr.,Sam Houston Bearkats,1.67,2.5,4.17,3.9,7.97,11.87,7.7,1544.1932478034769
5183875,Joshua Dent,Saint Mary's Gaels,2.72,2.85,5.57,6.1,5.74,11.84,6.27,1893.9598034101969
4684276,Aden Holloway,Alabama Crimson Tide,3.6,0.51,4.11,8.94,2.81,11.75,7.64,1429.5192416934474
5287474,Dame Sarr,Duke Blue Devils,2.0,3.15,5.15,3.69,8.03,11.719999999999999,6.57,1269.3808581793944
4870564,Joshua Jefferson,Iowa State Cyclones,3.05,2.65,5.699999999999999,6.63,5.09,11.719999999999999,6.02,1819.5755491196087
5106880,Jestin Porter,Clemson Tigers,1.85,2.09,3.94,6.11,5.58,11.690000000000001,7.75,1484.085377944829
5240387,Tyler Behrend,Tulsa Golden Hurricane,3.29,1.39,4.68,7.88,3.76,11.64,6.96,1159.8574939915502
4683147,Jalen Warley,Gonzaga Bulldogs,1.66,3.29,4.95,3.35,8.28,11.629999999999999,6.68,1128.2245531451038
5113969,Cameron Carr,Baylor Bears,3.04,0.85,3.89,7.6,4.01,11.61,7.72,1853.3131633139292
5107968,Ja'Kobi Gillespie,Tennessee Volunteers,3.35,1.45,4.8,8.91,2.7,11.61,6.81,1886.7982776496035
5061585,Isaiah Evans,Duke Blue Devils,3.33,2.64,5.970000000000001,6.79,4.8,11.59,5.62,1575.0598481546724
5315806,Tristan Smith,Northern Iowa Panthers,1.31,2.19,3.5,4.56,6.84,11.399999999999999,7.9,887.0130270550713
5174954,Motiejus Krivas,Arizona Wildcats,1.38,3.82,5.199999999999999,2.12,9.22,11.34,6.14,1487.0172118751875
5174983,Aday Mara,Michigan Wolverines,1.98,2.85,4.83,4.05,7.27,11.32,6.49,1383.6460380122564
5175591,C.J. Cox,Purdue Boilermakers,3.61,1.28,4.89,7.57,3.73,11.3,6.41,1379.7037921450833
5107355,Donovan Atwell,Texas Tech Red Raiders,2.86,1.42,4.279999999999999,7.02,4.25,11.27,6.99,1866.1373467613903
5106058,Emanuel Sharp,Houston Cougars,1.78,3.4,5.18,3.48,7.76,11.24,6.06,1623.3934323691278
5060700,Joseph Tugler,Houston Cougars,2.05,2.58,4.63,4.85,6.39,11.239999999999998,6.61,1286.160879258072
5174971,Rueben Chinyelu,Florida Gators,2.07,3.0,5.07,3.93,7.29,11.22,6.15,1446.8576427059118
5105809,Tarris Reed Jr.,UConn Huskies,2.12,1.95,4.07,5.63,5.51,11.14,7.07,1246.8972737528486
4702049,Duke Miles,Vanderbilt Commodores,2.77,1.44,4.21,6.79,4.31,11.1,6.89,1348.2080557551335
5105794,Skyy Clark,UCLA Bruins,2.45,1.1,3.5500000000000003,7.43,3.65,11.08,7.53,1102.2432732416164
5105619,Jayden Pierre,TCU Horned Frogs,1.71,2.29,4.0,5.28,5.78,11.06,7.06,1670.77327519931
5041954,Trey McKenney,Michigan Wolverines,2.11,2.68,4.79,4.55,6.48,11.030000000000001,6.24,1317.6015840260688
5105449,RJ Godfrey,Clemson Tigers,1.65,2.21,3.86,4.59,6.38,10.969999999999999,7.11,1367.2745401003604
5105847,Evan Mahaffey,Akron Zips,3.28,1.63,4.91,6.7,4.23,10.93,6.02,1682.6784701109689
4837238,Tucker DeVries,Indiana Hoosiers,2.43,1.44,3.87,5.84,5.07,10.91,7.04,1803.2232072027905
5241658,DeSean Goode,Robert Morris Colonials,2.45,1.42,3.87,6.12,4.7,10.82,6.95,1660.9027086138262
5239821,Martin Somerville,Florida State Seminoles,1.59,1.8,3.39,4.67,6.12,10.79,7.4,1494.605158546609
4432737,Jaden Bradley,Arizona Wildcats,2.66,2.99,5.65,5.4,5.35,10.75,5.1,1815.1274716906823
4684155,John Camden,California Golden Bears,2.21,1.52,3.73,6.57,4.18,10.75,7.02,1737.4663966008125
5149077,Kingston Flemings,Houston Cougars,3.3,1.63,4.93,8.87,1.86,10.729999999999999,5.8,1754.6788952053607
5238203,Somtochukwu Cyril,Georgia Bulldogs,2.67,1.32,3.99,6.12,4.58,10.7,6.71,1246.4844905266075
5175171,Quentin Jones,Saint Louis Billikens,2.44,2.73,5.17,3.96,6.67,10.629999999999999,5.46,1533.5450377954444
5311896,Ivan Kharchenkov,Arizona Wildcats,2.74,2.58,5.32,5.76,4.75,10.51,5.19,1624.9665109712996
4838721,Tyler Nickel,Vanderbilt Commodores,3.4,1.14,4.54,7.51,2.99,10.5,5.96,1825.929806518716
5314778,Trevian Carson,North Dakota State Bison,2.25,1.95,4.2,5.56,4.9,10.46,6.26,1807.7532083061117
5093142,J.P. Estrella,Tennessee Volunteers,2.05,1.46,3.51,6.03,4.42,10.45,6.94,856.267556761063
4870569,Duke Brennan,Villanova Wildcats,1.42,2.19,3.61,3.18,7.19,10.370000000000001,6.76,1577.5475591760871
5183809,Ishan Sharma,Saint Louis Billikens,3.35,1.26,4.61,8.53,1.84,10.37,5.76,1287.2283457228589
5093250,Jordan Clayton,Northwestern Wildcats,1.45,1.6,3.05,4.57,5.79,10.36,7.31,896.9915461710264
5107251,Izaiyah Nelson,South Florida Bulls,1.9,2.5,4.4,3.57,6.77,10.34,5.94,1616.1921498676656
5109020,Carter Bjerke,St. Thomas-Minnesota Tommies,2.14,2.04,4.18,5.43,4.84,10.27,6.09,1388.696869283986
5105815,Jaxon Kohler,Michigan State Spartans,2.05,2.12,4.17,4.67,5.55,10.219999999999999,6.05,1473.7190351593429
4895783,Nolan Winter,Wisconsin Badgers,2.31,1.65,3.96,5.04,5.17,10.21,6.25,1580.948697622726
5176788,Bubu Benjamin,George Washington Revolutionaries,1.85,1.68,3.53,5.54,4.6,10.14,6.61,977.3158716414111
4837356,Tre Donaldson,Miami Hurricanes,2.68,1.47,4.15,6.46,3.62,10.08,5.93,1898.6976984727428
5142718,AJ Dybantsa,BYU Cougars,2.78,1.16,3.939999999999999,6.34,3.74,10.08,6.14,2000.9574184954445
5060727,Tyler Thompson,Montana Grizzlies,1.46,1.52,2.98,5.27,4.81,10.079999999999998,7.1,1675.570827043932
5177104,Jasper Floyd,West Virginia Mountaineers,0.36,2.91,3.27,2.16,7.87,10.030000000000001,6.76,1419.725340694011
5144124,Nikolas Khamenia,Duke Blue Devils,1.66,2.63,4.29,3.49,6.43,9.92,5.63,1091.2897555393386
5037875,Tyrone Riley IV,San Francisco Dons,1.81,1.12,2.93,5.68,4.23,9.91,6.98,1605.2400269718648
4896862,Ali Dibba,Texas A&M Aggies,1.3,1.52,2.8200000000000003,3.9,5.98,9.88,7.06,848.9486819746478
5174973,Oscar Cluff,Purdue Boilermakers,3.54,0.63,4.17,7.78,2.09,9.870000000000001,5.7,1360.3199516850275
5176153,Marcus Hill,Texas A&M Aggies,1.93,1.54,3.47,4.85,5.02,9.87,6.4,1266.0226058776982
5174614,Jayden Ndjigue,Massachusetts Minutemen,0.54,2.66,3.2,1.79,8.06,9.850000000000001,6.65,1565.8998475112346
5262601,Khadim Mboup,BYU Cougars,1.68,1.39,3.07,4.72,5.13,9.85,6.78,854.1487590785965
5241610,Reece Robinson,North Texas Mean Green,0.76,2.36,3.12,3.01,6.71,9.719999999999999,6.6,1201.9826758338966
5142621,Chris Cenac Jr.,Houston Cougars,1.85,2.56,4.41,3.89,5.81,9.7,5.29,1356.6822470799125
5176787,Emmanuel Innocenti,Gonzaga Bulldogs,1.72,2.78,4.5,3.25,6.43,9.68,5.18,1287.7919778539008
5075626,Baba Miller,Cincinnati Bearcats,0.56,2.68,3.24,2.93,6.74,9.67,6.43,1685.2508589419242
5105462,Richie Saunders,BYU Cougars,2.34,1.33,3.67,5.68,3.97,9.65,5.98,1339.5725631946225
5254340,Uriah Tenette,New Mexico Lobos,1.53,2.02,3.55,4.29,5.36,9.65,6.1,1496.4103277507031
5176241,BJ Davis,San Diego State Aztecs,1.3,2.12,3.42,3.8,5.85,9.649999999999999,6.23,1282.3804968050215
5041937,Cayden Boozer,Duke Blue Devils,2.35,2.11,4.46,5.81,3.83,9.64,5.18,1234.8817135259842
5174661,Blue Cain,Georgia Bulldogs,2.97,0.65,3.62,7.03,2.55,9.58,5.96,1614.081169429149
5174557,Naithan George,Syracuse Orange,2.26,0.66,2.92,7.34,2.24,9.58,6.66,1734.1880043098693
5105658,Dylan Darling,St. John's Red Storm,0.82,2.81,3.63,2.27,7.3,9.57,5.94,1183.3790608086165
4698719,Trevon Brazile,Arkansas Razorbacks,3.12,0.83,3.95,6.46,3.09,9.55,5.6,1834.409768574757
5105464,Dallin Hall,Virginia Cavaliers,2.06,2.0,4.0600000000000005,4.86,4.64,9.5,5.44,1572.8938427600397
4702784,J'Vonne Hadley,Louisville Cardinals,2.54,1.19,3.73,6.23,3.27,9.5,5.77,1556.4873161322373
5258459,Ebuka Okorie,Stanford Cardinal,1.98,0.94,2.92,5.95,3.54,9.49,6.57,1754.7673039773238
4873184,Aiden Sherrell,Alabama Crimson Tide,2.68,0.9,3.58,5.58,3.9,9.48,5.9,1358.5253351488404
5177275,Adam Clark,Seton Hall Pirates,0.67,2.19,2.86,3.95,5.51,9.46,6.6,1636.9907520638424
5107287,Treysen Eaglestaff,West Virginia Mountaineers,0.26,2.81,3.0700000000000003,1.74,7.71,9.45,6.38,1484.9816563690272
5060701,Christian Anderson,Texas Tech Red Raiders,2.95,1.04,3.99,6.93,2.51,9.44,5.45,1998.848747566499
5106293,Mohamed Wague,Oklahoma Sooners,1.58,1.24,2.8200000000000003,4.07,5.35,9.42,6.6,1268.0442816466816
4873111,Kur Teng,Michigan State Spartans,1.38,1.75,3.13,3.73,5.65,9.38,6.25,942.0389451871991
5041951,Meleek Thomas,Arkansas Razorbacks,3.22,0.95,4.17,6.64,2.74,9.379999999999999,5.21,1836.656620148501
5107298,Donovan Oday,Northern Kentucky Norse,2.46,0.7,3.16,6.76,2.62,9.379999999999999,6.22,1769.444803561756
5060703,Elijah Crawford,UIC Flames,1.37,1.43,2.8,4.79,4.58,9.370000000000001,6.57,878.7081912404775
4917161,Armani Mighty,Mercer Bears,2.42,0.74,3.16,6.21,3.14,9.35,6.19,1718.4863828662512
5175787,Mahmoud Fofana,Cal State Northridge Matadors,0.76,1.52,2.28,3.91,5.41,9.32,7.04,1855.682328102037
4703115,Jaron Pierre Jr.,SMU Mustangs,2.68,1.01,3.69,5.71,3.6,9.31,5.62,1886.0568352963285
4838703,Tyler Hendricks,Utah Valley Wolverines,1.55,2.12,3.67,4.22,5.06,9.28,5.61,1396.6040552687978
5061598,JT Rock,New Mexico Lobos,0.84,1.97,2.81,2.35,6.9,9.25,6.44,714.116442655633
5241590,Terry Anderson,High Point Panthers,3.68,1.13,4.8100000000000005,7.65,1.6,9.25,4.44,1603.7106828492724
5105854,Braden Smith,Purdue Boilermakers,4.09,0.47,4.56,8.23,1.0,9.23,4.67,1949.533666558939
5239554,Malachi Palmer,Villanova Wildcats,1.67,1.06,2.73,5.65,3.57,9.22,6.49,959.1053487538863
5239838,Matas Vokietaitis,Texas Longhorns,2.6,0.86,3.46,5.7,3.49,9.190000000000001,5.73,1394.521373717088
4684596,Will Tschetter,Michigan Wolverines,2.15,1.17,3.32,6.22,2.93,9.15,5.83,847.3286783000779
4685659,Brady Dunlap,Saint Louis Billikens,2.3,1.26,3.5599999999999996,6.37,2.75,9.120000000000001,5.56,972.6396945849704
5248302,Killyan Toure,Iowa State Cyclones,2.23,2.28,4.51,4.64,4.48,9.120000000000001,4.61,1413.9157700284711
4711256,Caleb Foster,Duke Blue Devils,2.9,1.69,4.59,6.98,2.14,9.120000000000001,4.53,1292.4711400822146
5041949,Jamier Jones,Providence Friars,1.97,0.87,2.84,5.1,4.02,9.12,6.28,1423.3117149377408
4897898,Pablo Tamba,LSU Tigers,1.95,0.64,2.59,5.22,3.89,9.11,6.52,1488.168691280675
5182413,Sam Brown,Davidson Wildcats,1.11,1.65,2.76,4.03,5.07,9.100000000000001,6.34,1152.859440281302
5281370,Hannes Steinbach,Washington Huskies,1.49,1.04,2.53,4.82,4.27,9.09,6.56,1740.2592607587255
5079838,Blake Buchanan,Iowa State Cyclones,1.93,2.28,4.21,4.27,4.8,9.07,4.86,1361.7001018890646
4702654,Nick Boyd,Wisconsin Badgers,2.59,0.94,3.53,5.54,3.53,9.07,5.54,1860.4249259139408
5241282,Cheikh Sow,Idaho State Bengals,1.23,1.26,2.49,3.79,5.27,9.059999999999999,6.57,822.4985879897434
4917149,Alex Karaban,UConn Huskies,2.06,2.28,4.34,4.34,4.69,9.030000000000001,4.69,1883.6904876404633
4869764,Elliot Cadeau,Michigan Wolverines,2.64,1.86,4.5,6.13,2.9,9.03,4.53,1575.5916298167683
5107163,Elijah Chol,UC Irvine Anteaters,0.89,1.65,2.54,3.89,5.11,9.0,6.46,740.5167358181981
4873151,Paul McNeil Jr.,NC State Wolfpack,2.92,0.48,3.4,7.11,1.88,8.99,5.59,1573.5049140201158
5054083,Silas Demary Jr.,UConn Huskies,2.61,1.38,3.99,6.56,2.4,8.959999999999999,4.97,1637.6400286381158
5144372,Isaiah Brown,Florida Gators,2.19,0.55,2.74,7.13,1.8,8.93,6.19,700.6261955863002
4709141,Houston Mallette,Alabama Crimson Tide,2.63,0.73,3.36,5.91,3.0,8.91,5.55,1383.4017145130483
4685671,Jayden Hastings,Boston College Eagles,0.73,1.36,2.09,4.12,4.79,8.91,6.82,1075.5118493043371
5061581,Luke Bamgboye,Texas Tech Red Raiders,0.2,2.25,2.45,0.47,8.42,8.89,6.44,523.5545999799766
4898283,Boopie Miller,SMU Mustangs,2.68,0.98,3.66,5.58,3.3,8.879999999999999,5.22,1963.1797756691487
5115458,Sean Craig,Toledo Rockets,2.05,1.25,3.3,4.47,4.4,8.870000000000001,5.57,1842.7524064673617
4873219,Jacob Cofie,USC Trojans,0.75,1.44,2.19,3.44,5.43,8.87,6.68,1669.6155362344537
4565698,Bryce Hopkins,St. John's Red Storm,1.91,1.88,3.79,4.97,3.9,8.87,5.08,1684.3036213435985
5241415,Nolan Minessale,St. Thomas-Minnesota Tommies,2.0,1.96,3.96,4.59,4.27,8.86,4.9,1778.256419675918
5041958,Bryson Tiller,Kansas Jayhawks,1.49,1.83,3.3200000000000003,4.49,4.35,8.84,5.52,1413.9674491066376
4897768,Bryce Harris,Howard Bison,1.62,2.34,3.96,4.23,4.6,8.83,4.87,1800.7763828067302
5177185,Trevor Mullin,Yale Bulldogs,2.73,1.08,3.81,5.69,3.13,8.82,5.01,1346.2664641661297
5176681,Marcus Millender,Georgia Bulldogs,2.89,0.6,3.49,7.19,1.62,8.81,5.32,1486.6929833972013
4683941,RJ Keene II,Boise State Broncos,0.53,1.99,2.52,1.58,7.22,8.8,6.28,1104.7042514725863
5174657,Alex Condon,Florida Gators,2.23,2.3,4.529999999999999,4.46,4.33,8.79,4.26,1730.687839616993
4872743,Aaron McBride,Loyola Marymount Lions,0.46,1.76,2.22,2.49,6.3,8.79,6.57,1441.110616041988
5241898,Aaron Hunkin-Claytor,Hawai'i Rainbow Warriors,0.54,2.1,2.64,2.5,6.28,8.780000000000001,6.14,803.8466436305292
4712846,Jaden Schutt,Virginia Tech Hokies,1.83,1.33,3.16,5.4,3.38,8.780000000000001,5.62,1344.8821114928407
5311889,Andrew Osasuyi,St. Bonaventure Bonnies,0.69,1.46,2.15,2.86,5.91,8.77,6.62,649.161175528211
5241338,Austin Maurer,Seattle U Redhawks,0.31,2.52,2.83,1.68,7.08,8.76,5.93,1037.701443591984
5105552,B.J. Edwards,SMU Mustangs,2.41,1.04,3.45,5.46,3.3,8.76,5.31,1646.216791325341
5221321,Jaylen Petty,Texas Tech Red Raiders,1.54,1.82,3.3600000000000003,3.35,5.4,8.75,5.39,1581.8940753875413
4592579,Steele Venters,Gonzaga Bulldogs,1.76,1.26,3.02,5.54,3.21,8.75,5.73,724.0172867383485
5101849,Malachi Moreno,Kentucky Wildcats,1.6,1.65,3.25,4.15,4.58,8.73,5.48,1348.8227781307205
5164368,David Punch,TCU Horned Frogs,0.66,2.6,3.26,1.64,7.09,8.73,5.47,1629.8405841543038
5243088,Jerald Colonel,Stephen F. Austin Lumberjacks,0.54,2.92,3.46,0.6,8.12,8.719999999999999,5.26,1365.404371943638
5060709,Robert Wright III,BYU Cougars,2.58,0.85,3.43,5.99,2.71,8.7,5.27,1993.599855238607
5106588,Jo'el Emanuel,William & Mary Tribe,1.84,0.99,2.83,5.31,3.39,8.7,5.87,1240.7538674450434
5174623,David Green,Tulsa Golden Hurricane,2.62,1.53,4.15,4.81,3.88,8.69,4.54,1477.972012692463
5176770,Jaden Harris,Kennesaw State Owls,1.49,0.57,2.06,5.46,3.23,8.69,6.63,779.5709809904442
5080489,Thomas Haugh,Florida Gators,2.19,2.56,4.75,3.6,5.08,8.68,3.93,1910.1579571190537
5238200,Urban Klavzar,Florida Gators,2.64,0.87,3.51,6.92,1.75,8.67,5.16,1245.155646619806
5175368,Lazar Djokovic,VCU Rams,1.68,1.76,3.44,3.73,4.92,8.65,5.21,1549.378113198019
5176401,Lucas Scroggins,Saint Peter's Peacocks,1.41,0.91,2.32,5.43,3.2,8.629999999999999,6.31,758.7436646662347
5241471,Eric Mahaffey,Akron Zips,2.53,1.12,3.65,5.71,2.91,8.620000000000001,4.97,1298.4549405252317
5105857,Will Berg,Wichita State Shockers,1.99,1.2,3.19,4.87,3.74,8.61,5.42,1180.1720384808243
5174815,Gavin Walsh,UNC Wilmington Seahawks,1.34,1.12,2.46,4.68,3.92,8.6,6.14,666.1859779245602
4703396,Graham Ike,Gonzaga Bulldogs,2.46,2.0,4.46,4.94,3.64,8.58,4.12,1526.774310375586
5095151,Caleb Wilson,North Carolina Tar Heels,2.09,1.6,3.69,4.98,3.6,8.58,4.89,1269.2703787751398
5106262,Zuby Ejiofor,St. John's Red Storm,1.49,2.24,3.73,3.67,4.9,8.57,4.84,1771.9903030805317
5177736,Ben Humrichous,Illinois Fighting Illini,2.14,1.71,3.85,3.9,4.67,8.57,4.72,1188.8493667243322
5177122,De'Shayne Montgomery,Dayton Flyers,0.93,2.2,3.1300000000000003,3.44,5.13,8.57,5.44,1708.1219727693292
4685802,Robert McCray V,Florida State Seminoles,1.86,0.73,2.59,5.49,3.08,8.57,5.98,1685.0444871592751
4702962,Justice Ajogbor,Saint Joseph's Hawks,0.77,2.26,3.03,2.83,5.73,8.56,5.53,1379.011586363895
4873202,Isaac Davis,Utah Valley Wolverines,1.62,1.55,3.17,4.63,3.93,8.56,5.39,1044.739526845272
4706260,Myles Corey,Rhode Island Rams,1.21,1.26,2.47,5.12,3.41,8.530000000000001,6.06,1318.5593103881924
4702739,Aly Khalifa,Louisville Cardinals,1.16,1.44,2.5999999999999996,3.72,4.81,8.53,5.93,723.7422037192667
5313207,Reece Hagy,IU Indianapolis Jaguars,1.03,1.13,2.16,4.09,4.43,8.52,6.36,630.8895896668758
4898210,Nana Owusu-Anane,Grand Canyon Lopes,1.31,1.9,3.21,3.72,4.79,8.51,5.3,1801.6231416267424
5240980,Mikey Lewis,Saint Mary's Gaels,2.52,1.47,3.99,6.11,2.4,8.51,4.52,1408.289146638907
4067423,Isaiah Jones,South Florida Bulls,1.52,1.41,2.9299999999999997,3.88,4.62,8.5,5.57,935.7394871435756
5176349,Jaden Daughtry,Richmond Spiders,1.0,1.74,2.74,2.99,5.49,8.48,5.74,867.4397053947677
5196931,Jordan Scott,Michigan State Spartans,1.62,1.4,3.02,4.12,4.36,8.48,5.46,1129.3152701962736
4873153,Morez Johnson Jr.,Michigan Wolverines,1.22,2.8,4.02,1.52,6.95,8.47,4.45,1482.3352375377783
5077373,Garwey Dual,McNeese Cowboys,1.28,2.2,3.4800000000000004,2.72,5.73,8.450000000000001,4.97,1378.2590263926047
5175021,Bangot Dak,Colorado Buffaloes,1.58,1.03,2.6100000000000003,3.18,5.26,8.44,5.83,1428.5161577623223
4433285,Mark Mitchell,Missouri Tigers,1.88,0.9,2.78,4.52,3.91,8.43,5.65,1781.543139307303
5103630,John Blackwell,Wisconsin Badgers,2.53,0.89,3.42,5.0,3.4,8.4,4.98,1892.228236212734
5311846,Thijs De Ridder,Virginia Cavaliers,1.95,1.79,3.74,3.99,4.41,8.4,4.66,1565.0703193104307
4897438,Trey Kaufman-Renn,Purdue Boilermakers,2.93,0.88,3.81,5.64,2.75,8.39,4.58,1501.384187553197
5107490,Justin Bailey,Georgia Bulldogs,1.12,1.55,2.67,3.61,4.78,8.39,5.72,679.2573096511188
5061584,Pharaoh Compton,San Diego State Aztecs,1.89,0.75,2.6399999999999997,5.62,2.75,8.370000000000001,5.73,788.8794076170001
5105577,Jasen Green,Creighton Bluejays,1.26,0.94,2.2,4.28,4.09,8.370000000000001,6.17,1462.625739891676
4873181,Jarin Stevenson,North Carolina Tar Heels,2.27,0.96,3.23,5.76,2.61,8.37,5.14,1388.0599324099774
4685647,Jaylin Stewart,UConn Huskies,1.22,1.66,2.88,4.0,4.36,8.36,5.48,801.2986624213398
5239713,Brandon Jennings,VCU Rams,1.99,1.22,3.21,4.99,3.37,8.36,5.15,1415.9810949006735
5177098,Jean Aranguren,George Washington Revolutionaries,2.2,1.0,3.2,5.53,2.82,8.35,5.15,1395.0139269487413
5175011,Josiah Lake II,Oregon State Beavers,0.46,1.01,1.47,3.11,5.23,8.34,6.87,1836.44052123311
5176283,Cam Manyawu,Iowa Hawkeyes,0.76,1.98,2.74,2.37,5.96,8.33,5.59,943.894120965999
4838717,Patrick Wessler,UNC Wilmington Seahawks,1.71,1.7,3.41,3.4,4.93,8.33,4.92,1416.303180621377
5107209,Jaden Clayton,Pacific Tigers,1.43,1.1,2.53,4.74,3.59,8.33,5.8,1627.3963619309443
5176354,Chase Walker,Illinois State Redbirds,1.25,1.53,2.78,3.57,4.75,8.32,5.54,1072.2449909988106
5241909,Christian Richardson,Omaha Mavericks,0.74,1.55,2.29,2.48,5.83,8.31,6.02,709.332691014199
5174970,Isaiah Watts,Maryland Terrapins,1.16,0.76,1.92,4.48,3.83,8.31,6.39,912.4685951544344
5242999,Andrija Bukumirovic,UT Martin Skyhawks,0.92,1.8,2.72,4.87,3.43,8.3,5.58,1479.801363310151
5240615,Scottie Hubbard,Old Dominion Monarchs,1.06,1.13,2.19,3.59,4.69,8.280000000000001,6.09,874.1454385784776
5176317,Elijah Price,Nevada Wolf Pack,1.1,1.79,2.89,2.26,6.01,8.27,5.38,1661.0485189418391
5105527,Denzel Aberdeen,Kentucky Wildcats,1.98,1.18,3.16,4.92,3.33,8.25,5.09,1764.1181583808996
5311502,Elyjah Freeman,Auburn Tigers,1.9,0.86,2.76,4.37,3.87,8.24,5.48,1459.4867777848372
5177301,Melvin Council Jr.,Kansas Jayhawks,1.19,2.21,3.4,3.58,4.66,8.24,4.84,1936.545824100216
4873147,Taj DeGourville,San Diego State Aztecs,1.36,1.62,2.9800000000000004,3.72,4.52,8.24,5.26,1109.0471952985613
5239571,Braden Frager,Nebraska Cornhuskers,2.27,1.06,3.33,6.68,1.55,8.23,4.9,1181.5866152770377
4712845,Isaac McKneely,Louisville Cardinals,1.92,2.02,3.94,3.53,4.7,8.23,4.29,1660.4395791951624
5241366,Isaia Howard,Iowa Hawkeyes,1.6,1.14,2.74,4.4,3.82,8.22,5.48,955.2182853328736
5142609,Juke Harris,Wake Forest Demon Deacons,2.16,0.26,2.42,5.91,2.3,8.21,5.79,1955.180893327073
5106283,Dillon Mitchell,St. John's Red Storm,1.32,2.22,3.54,3.41,4.8,8.21,4.67,1641.422143759094
5106272,Milos Uzan,Houston Cougars,1.42,3.05,4.47,2.04,6.17,8.21,3.74,1759.7498996276493
4699760,Joseph Pinion,South Florida Bulls,1.98,1.94,3.92,3.88,4.29,8.17,4.25,1776.5428705541826
5176347,Eli Shetlar,Drake Bulldogs,1.14,0.83,1.97,4.45,3.71,8.16,6.19,1581.67936003021
4683680,Chance Westry,UAB Blazers,1.57,1.02,2.59,5.39,2.77,8.16,5.57,1648.9790315295406
4873187,Khani Rooths,Louisville Cardinals,1.36,1.58,2.9400000000000004,3.68,4.48,8.16,5.22,827.2565429678629
4897474,Ben Schwieger,Northern Iowa Panthers,1.03,2.01,3.04,3.89,4.26,8.15,5.11,1516.4095284210327
5037878,Ugonna Onyenso,Virginia Cavaliers,1.22,1.71,2.9299999999999997,2.41,5.73,8.14,5.21,998.4902555910492
