athlete_id,athlete_display_name,team_display_name,o_rapm,d_rapm,rapm,o_pipm,d_pipm,pipm,delta,total_poss
5175737,Yaxel Lendeborg,Michigan Wolverines,3.41,3.44,6.85,8.19,8.1,16.29,9.44,1782.1195491963217
5105571,Henri Veesaar,North Carolina Tar Heels,2.7,3.25,5.95,6.48,8.87,15.35,9.4,1568.6933698059088
5044426,Flory Bidunga,Kansas Jayhawks,1.84,3.22,5.0600000000000005,6.03,8.75,14.780000000000001,9.72,1763.7956156162893
4917097,Robbie Avila,Saint Louis Billikens,3.95,2.06,6.01,9.74,4.5,14.24,8.23,1491.050971192226
5041953,Koa Peat,Arizona Wildcats,2.75,3.64,6.390000000000001,5.9,7.87,13.77,7.38,1521.1153358864613
5254165,Keaton Wagler,Illinois Fighting Illini,4.07,1.64,5.71,9.03,4.69,13.719999999999999,8.01,1758.9017756785106
5105401,MJ Collins Jr.,Utah State Aggies,3.28,2.55,5.83,7.45,6.2,13.65,7.82,1761.3977026969017
5041935,Cameron Boozer,Duke Blue Devils,3.86,3.09,6.949999999999999,7.95,5.55,13.5,6.55,1856.2861140095283
5238195,Boogie Fland,Florida Gators,3.26,2.62,5.88,7.57,5.73,13.3,7.42,1750.292472831706
4711255,Jeremy Fears Jr.,Michigan State Spartans,2.62,2.48,5.1,7.06,6.2,13.26,8.16,1695.8204331716163
5174665,Zvonimir Ivisic,Illinois Fighting Illini,2.62,1.93,4.55,6.77,6.24,13.01,8.46,912.674635608164
4873183,Kam Williams,Kentucky Wildcats,1.52,2.38,3.9,4.86,8.11,12.969999999999999,9.07,709.4593534710308
4848637,Milan Momcilovic,Iowa State Cyclones,2.76,3.01,5.77,6.09,6.8,12.89,7.12,1706.7510889459627
5109789,Jake Ensminger,Santa Clara Broncos,2.84,1.99,4.83,7.14,5.64,12.78,7.95,1474.8321569816626
5082206,Brayden Burries,Arizona Wildcats,2.92,3.3,6.22,6.06,6.52,12.579999999999998,6.36,1771.9399109140943
5241364,Bennett Stirtz,Iowa Hawkeyes,2.74,2.08,4.82,6.66,5.65,12.31,7.49,1928.592757722964
4897432,Sam Hoiberg,Nebraska Cornhuskers,1.68,3.22,4.9,4.49,7.78,12.27,7.37,1686.5688829907192
5176084,Cam Cole,Navy Midshipmen,1.59,2.76,4.35,4.9,7.33,12.23,7.88,1025.360155484066
4895753,Jayden Ross,UConn Huskies,1.77,2.22,3.99,5.66,6.49,12.15,8.16,891.1480400263964
5105853,Fletcher Loyer,Purdue Boilermakers,3.2,2.22,5.42,5.35,6.79,12.14,6.72,1672.7708747938584
5174672,Michael Belle,VCU Rams,3.23,1.21,4.4399999999999995,8.77,3.36,12.129999999999999,7.69,1269.497806509925
5150404,Chance Mallory,Virginia Cavaliers,3.19,1.47,4.66,8.6,3.52,12.12,7.46,1357.7525064899296
