team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2,220,443,663,1083,387,1285.72
5,149,423,572,1012,386,1237.2
6,202,379,581,908,356,1037.84
8,207,464,671,1047,379,1282.16
9,233,572,805,1150,460,1370.76
12,247,436,683,1314,416,1431.08
13,145,377,522,882,310,1046.92
16,168,514,682,1094,433,1297.52
21,149,393,542,886,361,1114.8
23,166,482,648,1014,366,1147.92
24,152,454,606,1097,404,1307.48
25,172,516,688,1108,364,1274.48
26,179,494,673,1103,415,1344.4
27,128,421,549,948,278,1134.28
28,172,478,650,1068,364,1209.84
30,203,462,665,1200,402,1345.04
36,135,435,570,976,441,1178.16
38,186,464,650,1171,408,1359.48
41,186,433,619,1101,349,1262.68
42,179,440,619,1025,384,1182.6
43,126,331,457,808,329,978.12
44,169,401,570,983,341,1131.6
45,194,470,664,1048,362,1184.0
46,199,533,732,1118,472,1313.68
47,178,373,551,830,260,1021.72
48,200,419,619,1058,354,1216.2
50,227,418,645,1025,315,1177.3600000000001
52,209,501,710,1140,473,1347.08
55,154,362,516,971,452,1059.1200000000001
56,138,407,545,938,399,1100.04
57,213,430,643,1020,365,1161.3600000000001
58,154,487,641,962,387,1184.84
59,191,541,732,1142,441,1379.8
61,198,427,625,1130,461,1253.8799999999999
62,147,382,529,924,253,1081.3600000000001
66,161,451,612,927,343,1190.72
68,106,410,516,936,346,1155.76
70,159,525,684,1204,436,1421.6
71,126,414,540,994,411,1195.88
77,175,574,749,1110,463,1374.2
79,121,443,564,905,308,1109.04
82,166,505,671,1104,319,1331.96
84,176,522,698,1115,455,1322.68
85,167,401,568,880,362,1071.2
87,185,509,694,1224,436,1324.88
91,135,386,521,848,422,1005.56
93,154,401,555,989,404,1184.68
94,197,437,634,1074,463,1283.16
96,173,404,577,1070,405,1238.48
97,172,528,700,1154,454,1313.56
98,199,456,655,1126,478,1232.08
99,213,425,638,966,444,1253.84
103,181,529,710,1094,398,1323.96
104,144,421,565,1002,311,1183.48
107,166,493,659,1011,333,1201.0
108,93,389,482,753,327,952.52
111,124,390,514,1004,338,1179.96
113,174,461,635,1076,402,1249.68
116,156,361,517,871,304,1018.1600000000001
119,156,372,528,995,413,1179.4
120,203,505,708,1197,459,1328.92
127,193,454,647,1171,437,1324.04
130,147,443,590,1135,370,1329.08
135,185,572,757,1146,401,1285.92
139,173,413,586,1037,356,1230.68
140,151,468,619,941,341,1248.04
142,209,420,629,1026,341,1184.68
145,155,435,590,1004,355,1189.68
147,157,449,606,1115,407,1378.2
149,162,507,669,1040,317,1330.76
150,218,439,657,1260,403,1329.44
151,168,459,627,967,387,1165.84
152,198,536,734,1128,394,1328.92
153,150,486,636,1226,448,1405.08
154,209,452,661,1225,433,1395.16
155,163,496,659,1103,374,1244.72
156,222,470,692,1222,374,1297.64
158,214,550,764,1235,466,1421.64
159,112,357,469,760,284,934.36
160,119,434,553,961,377,1115.64
161,185,391,576,917,310,1069.48
163,116,357,473,840,265,959.6800000000001
164,195,469,664,1125,455,1295.0
166,147,371,518,982,433,1152.44
167,154,461,615,975,352,1175.0
171,138,391,529,897,389,1013.6800000000001
172,141,364,505,823,343,1015.36
179,153,412,565,951,426,1122.28
183,224,521,745,1233,579,1356.88
189,214,555,769,1264,544,1462.04
193,211,556,767,1183,455,1396.56
194,199,446,645,1175,419,1307.2
195,163,541,704,1112,431,1377.08
197,208,449,657,1053,424,1224.56
198,157,475,632,1174,430,1306.16
201,149,388,537,963,297,1173.4
202,184,451,635,1024,437,1213.24
204,240,514,754,1203,467,1359.36
213,166,474,640,1112,422,1261.72
218,189,430,619,978,341,1140.2
219,133,368,501,844,326,981.8
221,164,458,622,1075,466,1267.52
222,188,438,626,1105,481,1287.88
225,151,356,507,807,322,950.76
227,166,456,622,959,390,1152.56
228,149,495,644,1097,477,1317.52
231,164,426,590,984,388,1166.56
232,161,417,578,1061,375,1309.0
233,131,420,551,1001,361,1206.76
235,199,385,584,1057,466,1255.68
236,152,423,575,1004,427,1192.52
238,178,447,625,1013,368,1244.6
239,191,401,592,1031,358,1213.96
242,176,455,631,1127,401,1214.32
245,214,419,633,989,345,1240.8
248,186,402,588,967,398,1170.96
249,134,369,503,869,246,1075.44
250,193,421,614,973,383,1143.24
251,178,427,605,931,291,1167.56
252,116,365,481,900,335,1047.96
