athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
4398234,Khyre Thompson,2430,UNC Greensboro Spartans,,,,105.6338,79.7775,25.8563,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,224.36,219.36,0.0,0.0,237.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398235,Ryan Tankelewicz,2430,UNC Greensboro Spartans,,,,105.6338,79.7775,25.8563,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,224.36,219.36,0.0,0.0,237.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398237,Kyle Luedtke,2437,Omaha Mavericks,,,,106.1169,107.9838,-1.8669,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,279.88,287.08,0.0,0.0,297.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398246,Logan Dye,2535,Samford Bulldogs,,,,95.869,115.6483,-19.7792,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1012.84,1021.2,0.0,0.0,971.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398256,Connor Arnold,2678,VMI Keydets,,,,113.0374,114.7816,-1.7442,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,144.2,142.88,0.0,0.0,163.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398259,Armani Hill,2569,South Carolina State Bulldogs,,,,102.2171,110.2731,-8.056,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,416.76,418.96,0.0,0.0,426.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398271,D.J. Myers,2717,Western Carolina Catamounts,,,,107.6513,114.6454,-6.994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,345.56,355.88,0.0,0.0,372.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398273,Kameron Gibson,2717,Western Carolina Catamounts,112.332,110.543,1.789,,,,,,,,,,,,0.4537,0.4537,,0.0,0.4581,0.7212,0.4275,0.4275,,0.0,0.7215,0.3077,39.381,15.3975,15.1997,285.76,289.48,0.0,0.0,321.0,320.0,0.0,0.0,227.0,103.0,0.0,0.0,255.0,109.0,0.0,0.0,44.0,114.0,44.0,99.0
4398275,Isaiah Bigelow,2747,Wofford Terriers,,,,103.3209,100.0112,3.3097,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1423.72,1427.84,0.0,0.0,1471.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4398279,Messiah Jones,2747,Wofford Terriers,,,,103.3209,100.0112,3.3097,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1423.72,1427.84,0.0,0.0,1471.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
