athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
4593075,Chris Mann,349,Army Black Knights,134.6265,46.2695,88.357,101.9173,105.3994,-3.4821,91.8391,,,,,,,,0.5441,0.5441,,0.0,0.1029,0.8571,0.2037,0.2037,,0.0,0.76,0.3226,54.9451,14.476,17.3511,69.08,69.16,214.88,216.32,93.0,32.0,219.0,228.0,68.0,37.0,0.0,0.0,54.0,11.0,0.0,0.0,10.0,38.0,12.0,21.0
4705304,Jared Cross,349,Army Black Knights,134.6265,46.2695,88.357,100.5518,103.654,-3.1022,91.4592,,,,,,,,0.5441,0.5441,,0.0,0.1029,0.8571,0.2037,0.2037,,0.0,0.76,0.3226,54.9451,14.476,17.3511,69.08,69.16,1254.08,1243.56,93.0,32.0,1261.0,1289.0,68.0,37.0,0.0,0.0,54.0,11.0,0.0,0.0,10.0,38.0,12.0,21.0
4593012,Axel Okongo,2199,Eastern Michigan Eagles,115.9102,41.2931,74.6171,98.2422,113.9159,-15.6737,90.2908,,,,,,,,0.5,0.5,,0.0,0.5484,0.7647,0.2857,0.2857,,0.0,0.9302,0.35,47.1921,17.0815,3.5394,81.96,84.76,628.04,618.0,95.0,35.0,617.0,704.0,62.0,31.0,0.0,0.0,56.0,16.0,0.0,0.0,14.0,40.0,3.0,26.0
4397339,Isaac Chatman,2453,North Alabama Lions,143.278,54.2594,89.0186,97.3661,98.0417,-0.6757,89.6943,,,,,,,,0.5588,0.5588,,0.0,0.3235,0.7273,0.2766,0.2766,,0.0,0.8056,0.3714,39.338,17.4076,9.4954,74.68,73.72,1564.2,1566.68,107.0,40.0,1523.0,1536.0,68.0,38.0,0.0,0.0,47.0,13.0,0.0,0.0,13.0,29.0,7.0,22.0
4705375,Caleb Golden,2627,Tarleton Texans,130.3063,34.778,95.5283,107.9667,93.2212,14.7455,80.7829,,,,,,,,0.5541,0.5541,,0.0,0.3514,0.5385,0.3056,0.3056,,0.0,0.8462,0.6,29.4275,36.2708,5.3505,74.44,74.76,393.64,394.76,97.0,26.0,425.0,368.0,74.0,41.0,0.0,0.0,36.0,11.0,0.0,0.0,27.0,22.0,4.0,18.0
4279311,Torrey Patton,325,Cleveland State Vikings,106.2308,101.679,4.5518,60.3358,132.4069,-72.0711,76.6229,,,,,,,,0.4605,0.4605,,0.0,0.3178,0.6631,0.4162,0.4162,,0.0,0.6656,0.3433,36.5739,18.1741,18.375,1705.72,1703.4,76.24,76.28,1812.0,1732.0,46.0,101.0,1457.0,671.0,0.0,0.0,1408.0,586.0,0.0,0.0,310.0,623.0,313.0,593.0
4277880,Malik Williams,97,Louisville Cardinals,107.659,94.2302,13.4287,74.7095,137.6529,-62.9435,76.3722,,,,,,,,0.4385,0.4385,,0.0,0.2692,0.6857,0.4087,0.4087,,0.0,0.8082,0.3704,42.766,21.6763,10.1479,138.4,137.96,72.28,71.92,149.0,130.0,54.0,99.0,130.0,57.0,0.0,0.0,115.0,47.0,0.0,0.0,30.0,59.0,14.0,51.0
4702602,CJ Huntley,2026,Appalachian State Mountaineers,130.0699,56.0695,74.0004,102.1707,102.411,-0.2403,74.2407,,,,,,,,0.4812,0.4812,,0.0,0.3759,0.84,0.297,0.297,,0.0,0.8354,0.4545,46.2574,24.4755,9.1113,143.0,142.68,1256.72,1245.96,186.0,80.0,1284.0,1276.0,133.0,64.0,0.0,0.0,101.0,30.0,0.0,0.0,35.0,66.0,13.0,42.0
4432449,Aundre Polk,2117,Central Michigan Chippewas,122.2698,83.5178,38.7521,92.5197,127.0503,-34.5306,73.2827,,,,,,,,0.5329,0.5329,,0.0,0.4044,0.6589,0.3595,0.3595,,0.0,0.7069,0.4154,43.2079,21.1621,17.9155,382.76,379.56,152.4,148.76,468.0,317.0,141.0,189.0,319.0,170.0,0.0,0.0,306.0,110.0,0.0,0.0,81.0,164.0,68.0,114.0
4702637,Kaimen Lennox,140,Kansas City Roos,134.2515,55.5397,78.7118,112.3436,104.2177,8.1259,70.5859,,,,,,,,0.5758,0.5758,,0.0,0.2197,0.6897,0.2887,0.2887,,0.0,0.7439,0.4462,43.4349,20.1725,14.953,143.76,140.44,492.24,490.32,193.0,78.0,553.0,511.0,132.0,76.0,0.0,0.0,97.0,28.0,0.0,0.0,29.0,61.0,21.0,36.0
