athlete_id,athlete_display_name,team_id,team_display_name,ortg_on,drtg_on,nrtg_on,ortg_off,drtg_off,nrtg_off,on_off,ortg_on_pct,drtg_on_pct,nrtg_on_pct,ortg_off_pct,drtg_off_pct,nrtg_off_pct,on_off_pct,fg_pct_on,efg_pct_on,3p_pct_on,3p_rate_on,ft_rate_on,ft_pct_on,opp_fg_pct_on,opp_efg_pct_on,opp_3p_pct_on,opp_3p_rate_on,drb_pct_on,orb_pct_on,drb_per100_on,orb_per100_on,opp_orb_per100_on,poss_off_on,poss_def_on,poss_off_off,poss_def_off,pts_for_on,pts_against_on,pts_for_off,pts_against_off,fga_for_on,fgm_for_on,tpa_for_on,tpm_for_on,fga_against_on,fgm_against_on,tpa_against_on,tpm_against_on,orb_for_on,drb_for_on,orb_against_on,drb_against_on
4067179,Kenny Cooper,288,Lipscomb Bisons,153.2847,51.3617,101.923,110.2759,104.8304,5.4455,96.4775,,,,,,,,0.5325,0.5325,,0.0,0.3896,0.7333,0.209,0.209,,0.0,0.8889,0.5897,57.334,27.9805,7.1667,82.2,83.72,2335.96,2322.8,126.0,43.0,2576.0,2435.0,77.0,41.0,0.0,0.0,67.0,14.0,0.0,0.0,23.0,48.0,6.0,16.0
3924907,Jaylen Stowe,2382,Mercer Bears,154.9652,68.1063,86.8589,110.0799,109.4205,0.6594,86.1995,,,,,,,,0.5469,0.5469,,0.0,0.3281,0.7619,0.32,0.32,,0.0,0.8,0.6364,46.5116,33.2068,11.6279,63.24,60.2,1592.48,1607.56,98.0,41.0,1753.0,1759.0,64.0,35.0,0.0,0.0,50.0,16.0,0.0,0.0,21.0,28.0,7.0,12.0
4067373,Quate McKinzie,2084,Buffalo Bulls,134.5788,60.9756,73.6032,102.6237,103.3356,-0.7119,74.3151,,,,,,,,0.5893,0.5893,,0.0,0.25,0.7143,0.2623,0.2623,,0.0,0.7609,0.5,56.1617,18.9994,17.6508,63.16,62.32,1169.32,1163.2,85.0,38.0,1200.0,1202.0,56.0,33.0,0.0,0.0,61.0,16.0,0.0,0.0,12.0,35.0,11.0,12.0
4067968,Shack Scott,2681,Wagner Seahawks,134.2857,59.1216,75.1641,103.5476,102.6886,0.859,74.3051,,,,,,,,0.5323,0.5323,,0.0,0.4032,0.72,0.2333,0.2333,,0.0,0.8039,0.5152,57.714,24.2857,14.0766,70.0,71.04,1097.08,1099.44,94.0,42.0,1136.0,1129.0,62.0,33.0,0.0,0.0,60.0,14.0,0.0,0.0,17.0,41.0,10.0,16.0
3946038,Jamal Smith,2239,Cal State Fullerton Titans,111.2074,39.818,71.3894,102.1947,102.8001,-0.6054,71.9948,,,,,,,,0.5385,0.5385,,0.0,0.4038,0.6667,0.2182,0.2182,,0.0,0.8444,0.25,54.0387,10.1098,9.9545,69.24,70.32,1392.44,1384.24,77.0,28.0,1423.0,1423.0,52.0,28.0,0.0,0.0,55.0,12.0,0.0,0.0,7.0,38.0,7.0,21.0
3143996,A.C. Reid,2335,Liberty Flames,125.387,51.4981,73.8889,102.2684,98.6912,3.5771,70.3117,,,,,,,,0.5345,0.5345,,0.0,0.2586,0.7333,0.2157,0.2157,,0.0,0.8333,0.2857,54.6192,12.3839,10.9238,64.6,64.08,1874.48,1876.56,81.0,33.0,1917.0,1852.0,58.0,31.0,0.0,0.0,51.0,11.0,0.0,0.0,8.0,35.0,7.0,20.0
66836,Chris McComber,171,Columbia Lions,126.1261,64.4567,61.6694,101.0809,108.5827,-7.5019,69.1713,,,,,,,,0.5862,0.5862,,0.0,0.2586,0.6,0.2708,0.2708,,0.0,0.8684,0.2692,50.6446,10.5105,7.6734,66.6,65.16,1398.88,1386.04,84.0,42.0,1414.0,1505.0,58.0,34.0,0.0,0.0,48.0,13.0,0.0,0.0,7.0,33.0,5.0,19.0
3907454,Karl Charles,107,Holy Cross Crusaders,100.5569,98.236,2.3209,85.4932,151.6495,-66.1564,68.4773,,,,,,,,0.4347,0.4347,,0.0,0.3547,0.6962,0.4457,0.4457,,0.0,0.6853,0.1913,32.1692,9.4131,14.7744,1774.12,1793.64,111.12,112.76,1784.0,1762.0,95.0,171.0,1401.0,609.0,0.0,0.0,1400.0,624.0,0.0,0.0,167.0,577.0,265.0,706.0
66116,Sterling Brown,2567,SMU Mustangs,118.7325,93.0242,25.7083,94.0767,131.397,-37.3203,63.0286,,,,,,,,0.4769,0.4769,,0.0,0.3773,0.6983,0.3788,0.3788,,0.0,0.7307,0.372,41.8904,18.5211,15.4385,2024.72,2033.88,57.4,57.84,2404.0,1892.0,54.0,76.0,1757.0,838.0,0.0,0.0,1774.0,672.0,0.0,0.0,375.0,852.0,314.0,633.0
3955472,Dominic Hudson,494,Blue Mountain College Toppers,90.7163,86.0866,4.6298,69.2997,126.7473,-57.4476,62.0774,,,,,,,,0.3521,0.3521,,0.0,0.3803,0.7407,0.4182,0.4182,,0.0,0.7895,0.449,34.9,25.9189,9.3067,84.88,85.96,191.92,191.72,77.0,74.0,133.0,243.0,71.0,25.0,0.0,0.0,55.0,23.0,0.0,0.0,22.0,30.0,8.0,27.0
67492,Alex Dubovitskiy,2130,Chicago State Cougars,108.8185,76.0812,32.7374,88.7909,115.7019,-26.911,59.6484,,,,,,,,0.4068,0.4068,,0.0,0.4915,0.7241,0.375,0.375,,0.0,0.8824,0.275,40.0427,15.5455,5.339,70.76,74.92,1465.24,1454.6,77.0,57.0,1301.0,1683.0,59.0,24.0,0.0,0.0,48.0,18.0,0.0,0.0,11.0,30.0,4.0,29.0
3948140,Gentry Hunt,2130,Chicago State Cougars,108.8185,76.0812,32.7374,90.9134,117.2566,-26.3433,59.0806,,,,,,,,0.4068,0.4068,,0.0,0.4915,0.7241,0.375,0.375,,0.0,0.8824,0.275,40.0427,15.5455,5.339,70.76,74.92,1272.64,1265.6,77.0,57.0,1157.0,1484.0,59.0,24.0,0.0,0.0,48.0,18.0,0.0,0.0,11.0,30.0,4.0,29.0
62752,Tony Hicks,97,Louisville Cardinals,146.9773,73.2338,73.7435,110.4054,94.7383,15.667,58.0765,,,,,,,,0.5821,0.5821,,0.0,0.3433,0.6957,0.2549,0.2549,,0.0,0.8095,0.4375,48.8225,19.4121,11.4877,72.12,69.64,1401.2,1410.2,106.0,51.0,1547.0,1336.0,67.0,39.0,0.0,0.0,51.0,13.0,0.0,0.0,14.0,34.0,8.0,18.0
3138286,Tyler Nelson,2217,Fairfield Stags,103.1222,100.8416,2.2806,60.049,115.0733,-55.0243,57.3049,,,,,,,,0.4487,0.4487,,0.0,0.2878,0.6782,0.4341,0.4341,,0.0,0.7221,0.2428,38.5022,12.2234,14.8205,1930.72,1929.76,81.6,79.08,1991.0,1946.0,49.0,91.0,1609.0,722.0,0.0,0.0,1638.0,711.0,0.0,0.0,236.0,743.0,286.0,736.0
66490,Rodney Elliott,2378,UMBC Retrievers,147.1471,89.7202,57.427,110.813,109.6374,1.1756,56.2514,,,,,,,,0.5833,0.5833,,0.0,0.25,0.6,0.3607,0.3607,,0.0,0.8947,0.3571,51.7032,15.015,6.0827,66.6,65.76,1431.24,1426.52,98.0,59.0,1586.0,1564.0,60.0,35.0,0.0,0.0,61.0,22.0,0.0,0.0,10.0,34.0,4.0,18.0
3079758,Ricardo Hill Jr.,2842,Virginia-Wise Highland Cavaliers,82.846,111.6784,-28.8324,79.1855,162.0112,-82.8257,53.9933,,,,,,,,0.3404,0.3404,,0.0,0.5106,0.6667,0.4211,0.4211,,0.0,0.6842,0.2432,41.4805,14.6199,19.1449,61.56,62.68,70.72,71.6,51.0,70.0,56.0,116.0,47.0,16.0,0.0,0.0,57.0,24.0,0.0,0.0,9.0,26.0,12.0,28.0
3913214,Jonathan Jean,231,Furman Paladins,121.7765,54.9287,66.8478,112.7338,99.553,13.1808,53.667,,,,,,,,0.5455,0.5455,,0.0,0.3636,0.7,0.2679,0.2679,,0.0,0.766,0.2759,53.4442,11.4613,16.3302,69.8,67.36,1747.48,1753.84,85.0,37.0,1970.0,1746.0,55.0,30.0,0.0,0.0,56.0,15.0,0.0,0.0,8.0,36.0,11.0,21.0
3913766,Quaran Jones,2199,Eastern Michigan Eagles,129.8429,79.3274,50.5155,106.3966,108.7548,-2.3582,52.8737,,,,,,,,0.5394,0.5394,,0.0,0.3644,0.736,0.361,0.361,,0.0,0.6895,0.3977,34.5246,18.3246,15.5492,382.0,379.44,1250.04,1250.52,496.0,301.0,1330.0,1360.0,343.0,185.0,0.0,0.0,277.0,100.0,0.0,0.0,70.0,131.0,59.0,106.0
3913204,Matt Frierson,2643,The Citadel Bulldogs,125.8071,85.5962,40.2108,105.9865,117.2252,-11.2387,51.4496,,,,,,,,0.4398,0.4398,,0.0,0.4241,0.8025,0.4848,0.4848,,0.0,0.6988,0.4701,28.5321,26.1109,12.2983,210.64,203.28,2372.0,2359.56,265.0,174.0,2514.0,2766.0,191.0,84.0,0.0,0.0,132.0,64.0,0.0,0.0,55.0,58.0,25.0,62.0
3138275,Marlon Jones,166,New Mexico State Aggies,112.025,71.3878,40.6372,89.4953,97.5015,-8.0062,48.6434,,,,,,,,0.447,0.447,,0.0,0.3106,0.6829,0.3091,0.3091,,0.0,0.6875,0.4321,39.2633,24.8157,17.8469,141.04,140.08,68.16,65.64,158.0,100.0,61.0,64.0,132.0,59.0,0.0,0.0,110.0,34.0,0.0,0.0,35.0,55.0,25.0,46.0
3078800,Daine Muller,204,Oregon State Beavers,124.8514,88.8554,35.9959,95.5176,107.9169,-12.3992,48.3952,,,,,,,,0.5833,0.5833,,0.0,0.2,0.6667,0.35,0.35,,0.0,0.8095,0.3103,51.2048,13.3769,12.0482,67.28,66.4,1366.24,1356.6,84.0,59.0,1305.0,1464.0,60.0,35.0,0.0,0.0,60.0,21.0,0.0,0.0,9.0,34.0,8.0,20.0
3148992,Jordan Caroline,2440,Nevada Wolf Pack,113.7287,99.2095,14.5192,107.582,140.625,-33.043,47.5623,,,,,,,,0.4482,0.4482,,0.0,0.4107,0.7047,0.4206,0.4206,,0.0,0.7432,0.3043,39.7892,15.7674,13.7462,2264.16,2277.0,58.56,57.6,2575.0,2259.0,63.0,81.0,1921.0,861.0,0.0,0.0,1978.0,832.0,0.0,0.0,357.0,906.0,313.0,816.0
3130715,Devonte Hall,2466,Northwestern State Demons,104.6438,108.4612,-3.8175,80.2632,130.8689,-50.6057,46.7882,,,,,,,,0.4526,0.4526,,0.0,0.4232,0.6845,0.4685,0.4685,,0.0,0.6848,0.3073,33.8809,15.2142,15.5926,1886.4,1891.92,76.0,74.12,1974.0,2052.0,61.0,97.0,1498.0,678.0,0.0,0.0,1554.0,728.0,0.0,0.0,287.0,641.0,295.0,647.0
67201,Matt Husek,107,Holy Cross Crusaders,101.4237,98.5617,2.862,83.585,127.3444,-43.7594,46.6214,,,,,,,,0.4398,0.4398,,0.0,0.3484,0.6994,0.4439,0.4439,,0.0,0.6785,0.1937,32.2915,9.4717,15.3021,1699.8,1718.72,185.44,187.68,1724.0,1694.0,155.0,239.0,1346.0,592.0,0.0,0.0,1354.0,601.0,0.0,0.0,161.0,555.0,263.0,670.0
4074513,Jace Kerr,2824,Panhandle State Aggies,43.0316,78.2123,-35.1806,55.979,136.8741,-80.8951,45.7144,,,,,,,,0.2778,0.2778,,0.0,0.3889,0.5714,0.4314,0.4314,,0.0,0.6774,0.1333,29.3296,5.5525,13.9665,72.04,71.6,83.96,85.48,31.0,56.0,47.0,117.0,36.0,10.0,0.0,0.0,51.0,22.0,0.0,0.0,4.0,21.0,10.0,26.0
4066675,K.J. Smith,279,Pacific Tigers,126.3815,97.4159,28.9656,95.0675,110.5951,-15.5276,44.4932,,,,,,,,0.5246,0.5246,,0.0,0.2787,0.6667,0.3988,0.3988,,0.0,0.7297,0.4242,41.5299,21.49,15.3815,195.44,195.04,1345.36,1343.64,247.0,190.0,1279.0,1486.0,183.0,96.0,0.0,0.0,163.0,65.0,0.0,0.0,42.0,81.0,30.0,57.0
3147542,Jourdan Grant,2378,UMBC Retrievers,139.7562,94.3817,45.3745,109.7246,108.7458,0.9788,44.3957,,,,,,,,0.562,0.562,,0.0,0.2727,0.697,0.3566,0.3566,,0.0,0.7326,0.3966,46.8193,17.0978,17.0927,134.52,134.56,1825.48,1821.68,188.0,127.0,2003.0,1981.0,121.0,68.0,0.0,0.0,129.0,46.0,0.0,0.0,23.0,63.0,23.0,35.0
67360,Sabri Thompson,2466,Northwestern State Demons,105.8207,108.3009,-2.4802,75.7794,122.6415,-46.8621,44.3819,,,,,,,,0.4577,0.4577,,0.0,0.4192,0.6869,0.4689,0.4689,,0.0,0.6927,0.3096,34.0218,15.2426,15.0965,1823.84,1828.24,138.56,137.8,1930.0,1980.0,105.0,169.0,1455.0,666.0,0.0,0.0,1493.0,700.0,0.0,0.0,278.0,622.0,276.0,620.0
3149943,Stephen Ugochukwu,2377,McNeese Cowboys,98.5527,108.7102,-10.1575,85.3659,138.8051,-53.4392,43.2817,,,,,,,,0.4237,0.4237,,0.0,0.3515,0.686,0.4471,0.4471,,0.0,0.6473,0.2681,33.5952,14.071,18.3044,1790.92,1791.92,65.6,66.28,1765.0,1948.0,56.0,92.0,1468.0,622.0,0.0,0.0,1523.0,681.0,0.0,0.0,252.0,602.0,328.0,688.0
61571,Chad Philip Rykhoek,235,Memphis Tigers,113.3962,104.3903,9.0059,99.4098,132.517,-33.1073,42.1132,,,,,,,,0.4717,0.4717,,0.0,0.3872,0.6636,0.4279,0.4279,,0.0,0.7082,0.343,36.5156,17.5431,15.0482,946.24,950.28,128.76,129.04,1073.0,992.0,128.0,171.0,829.0,391.0,0.0,0.0,811.0,347.0,0.0,0.0,166.0,347.0,143.0,318.0
3906775,Dan Jech,233,South Dakota Coyotes,115.3648,71.8352,43.5296,103.8961,101.5906,2.3055,41.2241,,,,,,,,0.4894,0.4894,,0.0,0.2766,0.7692,0.3306,0.3306,,0.0,0.8256,0.4,48.116,18.0459,10.1654,155.16,147.56,1155.0,1146.76,179.0,106.0,1200.0,1165.0,141.0,69.0,0.0,0.0,121.0,40.0,0.0,0.0,28.0,71.0,15.0,42.0
3947034,Terry Harris Jr.,2154,Coppin State Eagles,86.9675,116.3815,-29.4139,65.8891,136.5008,-70.6116,41.1977,,,,,,,,0.3465,0.3465,,0.0,0.3201,0.6147,0.4781,0.4781,,0.0,0.6615,0.2753,32.2094,17.2414,16.4821,788.8,794.8,132.04,132.6,686.0,925.0,87.0,181.0,681.0,236.0,0.0,0.0,663.0,317.0,0.0,0.0,136.0,256.0,131.0,358.0
62688,Connor Perkey,2166,Davidson Wildcats,96.1538,89.2857,6.8681,95.057,129.1513,-34.0943,40.9624,,,,,,,,0.4364,0.4364,,0.0,0.2364,0.8462,0.434,0.434,,0.0,0.7714,0.1818,38.2653,8.4842,11.3379,70.72,70.56,63.12,65.04,68.0,63.0,60.0,84.0,55.0,24.0,0.0,0.0,53.0,23.0,0.0,0.0,6.0,27.0,8.0,27.0
62540,Conor Clifford,265,Washington State Cougars,103.6608,110.7546,-7.0938,72.5711,120.6075,-48.0364,40.9426,,,,,,,,0.4672,0.4672,,0.0,0.291,0.757,0.4587,0.4587,,0.0,0.7172,0.202,37.5544,9.3629,14.8051,1943.84,1938.52,67.52,67.16,2015.0,2147.0,49.0,81.0,1584.0,740.0,0.0,0.0,1731.0,794.0,0.0,0.0,182.0,728.0,287.0,719.0
