athlete_id,o_rapm,d_rapm,rapm,o_rapm_bp,d_rapm_bp,rapm_bp,athlete_display_name,team_id,team_display_name,total_poss
5061575,3.58,3.45,7.03,4.02,3.86,7.879999999999999,Kon Knueppel,150,Duke Blue Devils,2096.291203715105
4897493,3.65,2.86,6.51,4.03,3.23,7.26,Denver Jones,2,Auburn Tigers,1997.902804638887
5041939,3.1,3.11,6.21,3.73,3.69,7.42,Cooper Flagg,150,Duke Blue Devils,1893.9868780248748
4897262,3.33,2.66,5.99,3.76,3.13,6.89,Will Richard,57,Florida Gators,2126.443238880456
4896372,3.04,2.84,5.88,3.55,3.31,6.859999999999999,Walter Clayton Jr.,57,Florida Gators,2107.830472522944
4683737,3.55,2.19,5.74,3.87,2.61,6.48,Nolan Hickman,2250,Gonzaga Bulldogs,2149.4686259709447
5060700,2.26,3.39,5.65,2.64,3.91,6.550000000000001,Joseph Tugler,248,Houston Cougars,1451.1887174729943
4711203,2.66,2.98,5.640000000000001,3.36,3.39,6.75,Aniwaniwa Tait-Jones,28,UC San Diego Tritons,1980.9710591891492
5203685,2.72,2.88,5.6,3.13,3.31,6.4399999999999995,Khaman Maluach,150,Duke Blue Devils,1913.1395908838294
4683934,2.29,3.02,5.3100000000000005,2.58,3.48,6.0600000000000005,Jahmai Mashack,2633,Tennessee Volunteers,1958.7574775543603
5023693,2.68,2.6,5.28,3.03,3.0,6.029999999999999,Tyrese Proctor,150,Duke Blue Devils,1979.0483832918999
4433629,3.16,2.09,5.25,3.58,2.54,6.12,Ryan Nembhard,2250,Gonzaga Bulldogs,2237.2100348807344
5054085,3.72,1.5,5.220000000000001,4.16,1.97,6.13,Anthony Robinson II,142,Missouri Tigers,1690.6746367506623
4433149,2.29,2.92,5.21,2.75,3.31,6.0600000000000005,L.J. Cryer,248,Houston Cougars,2035.0822715385566
5106272,2.64,2.49,5.130000000000001,3.07,2.89,5.96,Milos Uzan,248,Houston Cougars,2043.90172583175
4397152,2.43,2.67,5.1,2.81,3.11,5.92,Jack Clark,2670,VCU Rams,2073.591450635655
4700877,3.2,1.88,5.08,3.64,2.3,5.9399999999999995,Chad Baker-Mazara,2,Auburn Tigers,1988.2743836687307
4433569,3.84,1.13,4.97,4.48,1.74,6.220000000000001,Johni Broome,2,Auburn Tigers,1963.7806485459994
5176420,2.18,2.77,4.95,2.54,3.28,5.82,Hayden Gray,28,UC San Diego Tritons,2031.1078117413324
4869780,2.28,2.67,4.949999999999999,2.79,3.19,5.98,Derik Queen,120,Maryland Terrapins,2140.6599590019446
4433285,3.48,1.39,4.87,3.95,1.86,5.8100000000000005,Mark Mitchell,142,Missouri Tigers,1951.6148979448456
4433174,2.99,1.85,4.84,3.33,2.29,5.62,Dylan Cardwell,2,Auburn Tigers,1926.8065216547013
4700852,1.86,2.96,4.82,2.35,3.37,5.720000000000001,Chaz Lanier,2633,Tennessee Volunteers,2014.5637671509212
4602025,3.08,1.7,4.78,3.53,2.15,5.68,Sion James,150,Duke Blue Devils,1530.4606038677744
4701845,1.72,2.94,4.66,2.17,3.46,5.63,Kadary Richmond,2599,St. John's Red Storm,2237.948764199261
4848637,2.86,1.78,4.64,3.26,2.18,5.4399999999999995,Milan Momcilovic,66,Iowa State Cyclones,1583.4388965498772
4433155,3.11,1.5,4.609999999999999,3.5,1.92,5.42,Clifford Omoruyi,333,Alabama Crimson Tide,2143.0558316081974
4703530,3.09,1.5,4.59,3.58,1.94,5.52,Mark Sears,333,Alabama Crimson Tide,2381.828315278254
4433068,2.28,2.3,4.58,2.69,2.74,5.43,J'Wan Roberts,248,Houston Cougars,1826.0059335174055
4702027,3.14,1.42,4.5600000000000005,3.63,1.82,5.45,Chance McMillian,2641,Texas Tech Red Raiders,1893.5962207470136
4870564,2.1,2.45,4.550000000000001,2.54,2.99,5.53,Joshua Jefferson,66,Iowa State Cyclones,2156.9119677164863
4702656,2.69,1.85,4.54,3.14,2.34,5.48,Alijah Martin,57,Florida Gators,1980.288221517944
4937074,2.72,1.82,4.54,3.18,2.26,5.4399999999999995,Darrion Williams,2641,Texas Tech Red Raiders,1862.4729564734334
4701182,2.0,2.53,4.529999999999999,2.47,3.01,5.48,Mitchell Saxen,2608,Saint Mary's Gaels,1961.3523568430264
5106254,1.83,2.68,4.51,2.2,3.11,5.3100000000000005,Tamin Lipsey,66,Iowa State Cyclones,2123.01014970443
4873090,2.6,1.81,4.41,3.03,2.28,5.31,Labaron Philon Jr.,333,Alabama Crimson Tide,1766.9380998362915
4593043,2.67,1.7,4.37,3.26,2.17,5.43,John Tonje,275,Wisconsin Badgers,2216.459242341408
5107968,1.99,2.37,4.36,2.48,2.82,5.3,Ja'Kobi Gillespie,120,Maryland Terrapins,2170.0214681854077
4897197,1.77,2.58,4.35,2.27,2.99,5.26,Augustas Marciulionis,2608,Saint Mary's Gaels,2065.0981525002317
5106058,1.99,2.35,4.34,2.44,2.78,5.22,Emanuel Sharp,248,Houston Cougars,1813.139411427066
5106262,1.67,2.65,4.32,2.24,3.07,5.3100000000000005,Zuby Ejiofor,2599,St. John's Red Storm,2234.4091291313307
4701120,1.99,2.31,4.3,2.39,2.64,5.03,Phillip Russell,2670,VCU Rams,1874.1132263042834
4432926,2.36,1.94,4.3,2.77,2.32,5.09,Dishon Jackson,66,Iowa State Cyclones,1885.5485443271164
4683742,1.96,2.33,4.29,2.43,2.84,5.27,Julian Reese,120,Maryland Terrapins,2109.177521430249
5112189,1.67,2.59,4.26,1.99,2.95,4.94,Nordin Kapic,28,UC San Diego Tritons,1877.3353219441556
5105555,2.52,1.74,4.26,2.97,2.15,5.12,Tobe Awaka,12,Arizona Wildcats,1974.0180207555566
5174971,2.18,2.08,4.26,2.49,2.48,4.970000000000001,Rueben Chinyelu,57,Florida Gators,1906.1014435830057
4696317,3.0,1.24,4.24,3.34,1.68,5.02,Miles Kelly,2,Auburn Tigers,2007.347719540462
4432737,2.58,1.66,4.24,2.94,2.09,5.029999999999999,Jaden Bradley,12,Arizona Wildcats,2286.911835969789
5214642,2.38,1.86,4.24,2.8,2.34,5.14,Tomislav Ivisic,356,Illinois Fighting Illini,1867.1730946196342
4897575,2.9,1.33,4.23,3.35,1.67,5.02,Kezza Giffa,2272,High Point Panthers,2025.9050076366489
4702973,2.39,1.82,4.21,2.73,2.21,4.9399999999999995,Isaiah Gray,2006,Akron Zips,2052.5561464538932
4897517,1.13,3.06,4.1899999999999995,1.49,3.49,4.98,Aaron Scott,2599,St. John's Red Storm,1812.8978689520866
5105841,1.63,2.56,4.1899999999999995,1.97,3.01,4.9799999999999995,Felix Okpara,2633,Tennessee Volunteers,1962.2525061994706
5174657,1.95,2.23,4.18,2.43,2.71,5.140000000000001,Alex Condon,57,Florida Gators,1923.9396740057475
4701125,2.34,1.8,4.14,2.79,2.22,5.01,Javohn Garcia,2377,McNeese Cowboys,1791.782959663773
5107864,3.43,0.71,4.140000000000001,3.85,1.23,5.08,Mason Falslev,328,Utah State Aggies,2078.1565629379934
4701184,1.6,2.53,4.13,1.95,2.93,4.88,Luke Barrett,2608,Saint Mary's Gaels,2056.620968451149
5174955,1.73,2.39,4.12,2.18,2.81,4.99,Paulius Murauskas,2608,Saint Mary's Gaels,1945.387069267236
4701992,1.84,2.25,4.09,2.39,2.72,5.11,Max Shulga,2670,VCU Rams,2092.3560539191667
4683730,1.53,2.57,4.1,1.89,3.0,4.89,Jaden Akins,127,Michigan State Spartans,2015.197479925837
4683956,2.42,1.67,4.09,2.81,2.07,4.88,Carlos Stewart Jr.,2541,Santa Clara Broncos,1967.888176765332
5106270,2.72,1.37,4.09,3.18,1.85,5.03,Otega Oweh,96,Kentucky Wildcats,2031.1636325400248
4702655,1.44,2.63,4.07,1.81,3.09,4.9,Johnell Davis,8,Arkansas Razorbacks,1727.8094434857571
4703883,2.0,2.06,4.0600000000000005,2.47,2.45,4.92,Tyler McGhie,28,UC San Diego Tritons,2003.6520432589327
