team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2011,375,809,1184,1839,635,2119.08
2013,24,28,52,71,15,78.88
2016,322,755,1077,1741,707,2182.52
2019,31,53,84,133,50,140.60000000000002
2023,13,28,41,56,26,68.03999999999999
2026,322,830,1152,1870,729,2147.64
2027,22,69,91,112,35,147.12
2029,287,840,1127,1689,603,2204.8
2031,322,802,1124,1829,689,2245.32
2032,298,795,1093,1776,596,2130.6
2044,9,28,37,68,36,74.8
2046,291,801,1092,1664,593,2059.76
2047,7,37,44,53,21,65.24000000000001
2050,312,743,1055,1872,619,2180.84
2056,30,56,86,140,53,154.72000000000003
2057,329,791,1120,1895,645,2211.68
2064,21,54,75,128,48,150.60000000000002
2065,368,841,1209,1862,686,2212.16
2066,304,736,1040,1786,618,2088.36
2070,9,37,46,71,19,81.16
2074,10,37,47,71,25,78.04
2077,18,32,50,74,37,74.48
2079,17,24,41,58,23,67.4
2081,10,31,41,61,38,72.12
2083,266,745,1011,1846,666,2133.64
2084,322,803,1125,1942,696,2367.08
2086,328,833,1161,1874,623,2132.12
2093,8,21,29,51,27,68.56
2097,297,787,1084,1837,763,2212.12
2099,298,775,1073,1747,554,2054.32
2100,17,38,55,77,26,80.52
2110,337,873,1210,1963,769,2262.24
2113,13,38,51,64,28,76.2
2114,23,26,49,86,43,75.96
2115,302,814,1116,1836,683,2097.4
2116,353,777,1130,1855,720,2278.8
2117,350,756,1106,1757,735,2128.24
2124,11,30,41,64,24,73.68
2127,304,744,1048,1747,704,2065.36
2130,335,702,1037,1783,680,2060.64
2132,348,901,1249,2142,669,2503.04
2142,287,816,1103,2056,753,2379.4
2144,13,34,47,53,12,78.56
2148,21,67,88,133,57,154.27999999999997
2154,425,900,1325,2029,839,2348.36
2157,24,62,86,128,58,134.83999999999997
2166,300,799,1099,1843,678,2127.28
2167,4,34,38,64,31,77.6
2168,335,718,1053,1942,752,2162.16
2169,281,757,1038,1660,702,2082.52
2172,312,681,993,1950,785,2228.44
2174,325,772,1097,1931,757,2238.4
2176,8,29,37,50,15,74.72
2177,18,25,43,62,19,75.52
2181,278,868,1146,2001,760,2382.04
2182,290,761,1051,1793,510,2076.2
2184,380,815,1195,1875,634,2259.96
2189,15,38,53,67,17,76.08
2193,319,747,1066,1834,785,2117.84
2197,348,827,1175,1806,770,2169.76
2198,399,973,1372,2291,909,2687.16
2199,339,811,1150,1846,767,2175.68
2202,20,66,86,131,41,145.64
2206,35,58,93,133,54,142.12
2210,339,813,1152,1869,843,2128.68
