team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2832,8,29,37,61,31,73.48
2834,8,25,33,62,27,73.44
2837,361,778,1139,1746,604,2085.28
2839,16,66,82,122,43,148.72
2842,11,29,40,67,23,74.04
2848,13,28,41,67,18,73.6
2850,25,41,66,85,24,80.04
2855,64,128,192,293,166,279.6
2856,323,769,1092,1820,570,2159.52
2862,18,50,68,122,56,137.96
2866,30,58,88,147,59,161.68
2870,342,840,1182,1887,756,2263.56
2871,11,26,37,71,28,77.84
2876,7,20,27,42,12,55.480000000000004
2877,16,20,36,66,15,68.88
2879,15,28,43,65,27,62.599999999999994
2885,351,812,1163,1821,631,2064.92
2888,8,22,30,54,22,66.72
2889,8,25,33,59,28,74.68
2892,15,41,56,78,35,75.4
2893,13,34,47,68,28,71.68
2896,28,61,89,131,57,145.24
2899,11,36,47,75,29,77.04
2900,350,837,1187,1956,813,2360.28
2902,11,27,38,65,36,78.44
2903,44,64,108,163,65,153.07999999999998
2905,15,26,41,62,21,75.52
2908,351,858,1209,1951,778,2334.52
2913,10,36,46,60,27,80.0
2916,333,708,1041,1811,593,2143.68
2919,18,27,45,55,27,62.36
2920,15,30,45,73,32,69.8
2930,8,37,45,68,20,79.16
2931,6,31,37,50,19,72.08
2932,15,32,47,66,22,74.32
2934,310,730,1040,1750,727,2214.08
2937,54,122,176,244,101,290.36
2939,15,27,42,62,28,60.8
2940,14,31,45,65,32,67.12
2945,26,63,89,124,42,145.2
2951,14,32,46,64,30,70.8
2980,9,27,36,64,35,67.32
2985,13,49,62,79,23,76.96
3066,21,32,53,84,21,79.36
3067,13,37,50,64,24,77.64
3071,23,22,45,72,31,70.84
3077,57,91,148,219,93,220.16
3078,11,38,49,65,23,71.84
3080,14,36,50,74,33,76.04
3081,7,23,30,51,15,70.36
3083,34,67,101,148,45,178.2
3084,320,772,1092,1941,631,2279.88
3090,32,75,107,160,91,150.12
3092,10,33,43,62,27,72.92
3101,347,854,1201,1886,593,2269.52
3103,12,36,48,64,33,76.44
3106,12,33,45,63,13,74.0
3107,105,209,314,386,155,397.28
3111,14,36,50,65,27,74.24
3120,53,114,167,244,97,235.92000000000002
3121,12,26,38,57,17,66.68
3122,16,23,39,57,21,63.16
3126,5,33,38,52,24,71.8
3134,85,212,297,405,181,417.44
3141,38,117,155,231,97,290.24
3152,37,67,104,153,69,149.36
3153,10,34,44,55,14,73.6
3154,11,24,35,59,28,65.48
3155,18,30,48,83,39,79.24
3158,29,51,80,127,49,138.95999999999998
3164,24,69,93,142,53,155.2
3166,44,65,109,145,41,151.0
3167,72,157,229,296,135,337.56
3168,13,37,50,76,35,76.4
3170,20,43,63,66,26,75.0
3174,48,104,152,225,109,239.16000000000003
3189,19,34,53,77,42,77.36
3196,22,72,94,140,69,143.2
